;REGIÃO;;;ENDEREÇO;
Águas Claras;;;Avenida Jacarandá, Lote 24, próximo ao terminal de Furnas.;;
;Asa Sul;;;Núcleo de Limpeza de Brasília, Avenida das Nações (L4 Sul, ao lado da Estação de Tratamento de Esgoto Brasília Sul);
Brazlândia;;;Núcleo de Limpeza de Brazlândia – localizado na Área Especial 02 Norte, Lote K, Setor Norte (próximo à 18ª Delegacia de Polícia);;
;;;Quadra 33, Área Especial nº 3, Vila São José, BR 430, Km 01, Sentido Capão da Onça – Rodeador;;
C eilândia;;;;Núcleo de Limpeza de Ceilândia – localizado na QNN 29 Módulos G a K Área Especial, próximo ao IESB;
;;;;QNP 28 Área Especial – P Sul s/nº Área da Usina do SLU (depois do Terminal Rodoviário do Setor P Sul);
;;;;QNM 27, lote C – Pátio de Serviço da Administração Regional de Ceilândia;
Gama;;;Núcleo de Limpeza do Gama – Avenida Contorno localizado na Área Especial, Lote 02, Setor Norte (ao lado do Detran);;
;;;Área lindeira dos lotes entre as A.E. 06, QD. 06 e A.E. 12, QD. 12, Setor Sul;;
Guará;;;;SRIA IIA QE 25 Área Especial do CAVE (próximo à Feira Permanente);
;;;;Avenida Contorno, próximo ao batalhão da Polícia Militar – Lote “A” da Área Especial 10 – SRIA, Guará 2;
Paranoá;;;Quadra 05, Conjunto D, Lote 4;;
;Planaltina;;;Núcleo de Limpeza Urbana de Planaltina – localizado na Área Especial 02, lote 11/12 Setor Norte (próximo ao Batalhão da PMDF);
Recanto das Emas;;;Av. Recanto das Emas Qd. 206/300 Centro Urbano – junto à Administração Regional do Recanto das Emas.;;
Santa Maria;;;;Fazenda Saia Velha, próximo ao conjunto D da quadra QR 219;
;;;;Próximo ao LT 01, Conj. “C”, AC 104;
