;PESO LÍQUIDO POR MÊS (TONELADAS);;;;;;;;;;;;;;;;;;
;Mês;;;Pó/areia;;;Brita 1;;;Brita 2;;;Brita 3;;;Rachão;;Total;
;Janeiro;;5.434,82;;;4.682,94;;;2.275,69;;;2.291,41;;;4.484,85;;;19.169,71;
;Fevereiro;;5.038,98;;;5.998,24;;;2.422,33;;;3.374,99;;;1.278,81;;;18.113,35;
;Março;;7.292,30;;;6.113,12;;;2573,74;;;3.911,06;;;0,00;;;19.890,22;
;Abril;;8.752,09;;;9.547,64;;;3.181,73;;;5.000,20;;;0,00;;;26.481,66;
;Maio;;11.514,77;;;10.105,04;;;3.453,02;;;4.967,79;;;0,00;;;30.040,62;
;Junho;;11.636,58;;;8.291,22;;;3.096,91;;;3.949,57;;;0,00;;;26.974,28;
;Julho;;11.237,30;;;7.388,24;;;1.996,74;;;3.202,70;;;2.735,88;;;26.560,86;
;Agosto;;11.729,09;;;6.780,63;;;2.384,87;;;3.154,85;;;0,00;;;24.049,44;
;Setembro;;9.481,41;;;7.370,55;;;2.199,67;;;2.965,87;;;0,00;;;22.017,50;
;Outubro;;9985,01;;;3204,58;;;1.734,78;;;3.021,17;;;0,00;;;17.945,54;
;Novembro;;5315,03;;;2882,05;;;2.137,57;;;2.932,88;;;0,00;;;13.267,53;
;Dezembro;;3755,20;;;3444,72;;;3.160,47;;;2.721,00;;;0,00;;;13.081,39;
;TOTAL;;;101.172,58;;;75.808,97;;;30.617,52;;;41.493,49;;;8.499,54;;257.592,10;
