;LOTE I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;
;Varrição manual;;R$ 4.320.495,53;;;R$ 4.148.095,54;;;R$ 4.671.231,76;;;R$ 4.685.667,66;;;R$ 4.890.903,05;;;R$ 4.909.491,46;;;R$ 5.039.979,30;;;R$5.238.659,30;;;R$ 5.041.045,39;;;R$5.054.682,73;;;R$ 5.114.744,19;;;R$ 5.310.259,10;;
;de vias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Coleta Seletiva;;R$ 985.283,94;;;R$ 906.801,63;;;R$ 1.021.215,60;;;R$ 1.026.325,08;;;R$ 1.021.409,73;;;R$ 1.024.358,94;;;R$ 1.143.995,04;;;R$1.207.328,40;;;R$ 1.160.027,94;;;R$1.162.256,62;;;R$ 1.233.298,73;;;R$ 1.279.282,25;;
;Coleta;;R$ 3.945.085,84;;;R$ 3.491.163,92;;;R$ 3.678.583,92;;;R$ 3.525.834,34;;;R$ 3.516.356,86;;;R$ 3.388.670,36;;;R$ 3.863.369,00;;;R$4.315.674,35;;;R$ 4.211.295,13;;;R$4.262.973,62;;;R$ 5.119.766,52;;;R$ 5.732.279,70;;
;convencional de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RSU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Coleta manual;;R$ 131.375,61;;;R$ 123.015,35;;;R$ 132.702,64;;;R$ 131.570,24;;;R$ 135.597,90;;;R$ 134.255,35;;;R$ 150.608,43;;;R$ 152.229,74;;;R$ 150.327,85;;;R$ 156.340,96;;;R$ 161.867,41;;;R$ 160.371,42;;
;de entulhos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Coleta;;R$ 705.731,19;;;R$ 676.744,28;;;R$ 682.942,64;;;R$ 618.288,99;;;R$ 585.075,03;;;R$ 621.915,91;;;R$ 788.588,96;;;R$ 883.491,40;;;R$ 814.461,98;;;R$ 810.926,42;;;R$ 1.083.231,84;;;R$ 1.166.601,35;;
;mecanizada de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;entulhos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Limpeza de;;R$ 124.184,88;;;R$ 124.184,88;;;R$ 124.184,88;;;R$ 131.201,70;;;R$ 131.201,70;;;R$ 131.201,70;;;R$ 142.989,92;;;R$ 144.527,14;;;R$ 144.528,76;;;R$ 144.528,76;;;R$ 151.293,15;;;R$ 151.290,34;;
;equipamentos e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bens Públicos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
