;UTMB PSUL - UNIDADE DE TRATAMENTO MECÂNICO BIOLÓGICO DA CEILÂNDIA (PSUL);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mês;;;OPERAÇÃO, CONTROLE E MANUTENÇÃO COM PRODUÇÃO DE COMPOSTO CRU;;;Custo por tonelada;;;OPERAÇÃO DE COMPOSTAGEM;;;Custo por tonelada;;;TRANSPORTE DE REJEITO E COMPOSTO CRU;;;Custo por tonelada;;;TRANSPORTE DE CHORUME;;;Custo por viagem;;;Custo Total;;
;Janeiro;;R$ 770.556,55;;;R$ 44,87;;;R$ 144.411,22;;;R$ 23,81;;;R$ 637.402,94;;;R$ 28,96;;;R$ 168.990,08;;;R$ 630,56;;;R$ 1.721.360,79;;
;Fevereiro;;R$ 612.555,19;;;R$ 42,24;;;R$ 144.460,45;;;R$ 25,92;;;R$ 567.310,90;;;R$ 29,10;;;R$ 131.134,50;;;R$ 633,50;;;R$ 1.455.461,04;;
;Março;;R$ 751.235,94;;;R$ 45,03;;;R$ 155.196,57;;;R$ 25,89;;;R$ 639.438,45;;;R$ 29,10;;;R$ 143.234,28;;;R$ 633,78;;;R$ 1.689.105,24;;
;Abril;;R$ 642.635,43;;;R$ 43,63;;;R$ 141.313,77;;;R$ 25,90;;;R$ 552.518,26;;;R$ 29,08;;;R$ 23.426,18;;;R$ 633,14;;;R$ 1.359.893,64;;
;Maio;;R$ 688.350,64;;;R$ 45,03;;;R$ 143.033,19;;;R$ 25,89;;;R$ 559.865,09;;;R$ 29,10;;;-;;;R$ 633,78;;;R$ 1.391.248,92;;
;Junho;;R$ 682.832,67;;;R$ 45,03;;;R$ 152.083,56;;;R$ 25,89;;;R$ 523.874,50;;;R$ 29,10;;;R$ 1.267,56;;;R$ 633,78;;;R$ 1.360.058,29;;
;Julho;;R$ 623.153,17;;;R$ 45,72;;;R$ 150.677,51;;;R$ 29,06;;;R$ 597.338,18;;;R$ 37,56;;;-;;;R$ 798,23;;;R$ 1.371.168,86;;
;Agosto;;R$ 780.060,87;;;R$ 55,41;;;R$ 203.811,89;;;R$ 34,21;;;R$ 781.573,32;;;R$ 42,89;;;-;;;R$ 927,74;;;R$ 1.765.446,08;;
;Setembro;;R$ 859.901,14;;;R$ 55,41;;;R$ 224.634,49;;;R$ 34,21;;;R$ 832.965,83;;;R$ 42,89;;;R$ 33.398,64;;;R$ 927,74;;;R$ 1.950.900,10;;
;Outubro;;R$ 854.031,01;;;R$ 55,41;;;R$ 210.098,32;;;R$ 34,21;;;R$ 868.193,53;;;R$ 42,89;;;R$ 383.732,11;;;R$ 927,74;;;R$ 2.316.054,97;;
;Novembro;;R$ 883.977,89;;;R$ 55,41;;;R$ 240.622,19;;;R$ 34,21;;;R$ 868.227,85;;;R$ 42,89;;;R$ 210.596,98;;;R$ 927,74;;;R$ 2.203.424,91;;
;Dezembro;;R$ 937.046,40;;;R$ 58,52;;;R$ 267.230,28;;;R$ 36,84;;;R$ 914.790,20;;;R$ 44,30;;;R$ 245.100,90;;;R$ 955,47;;;R$ 2.364.167,78;;
;TOTAL;;;R$ 9.086.336,90;;;;;;R$ 2.177.573,44;;;;;;R$ 8.343.499,05;;;;;;R$ 1.340.881,23;;;;;;R$ 20.948.290,62;
;Média;;;R$ 757.194,74;;;;;;R$ 181.464,45;;;;;;R$ 695.291,59;;;;;;R$ 111.740,10;;;;;;R$ 1.745.690,89;
