CONTRATOS E RESULTADOS DA TRIAGEM POR COOPERATIVA;;;;;
;;;VALOR UNITÁRIO POR;TONELADAS RECUPERADAS EM;VALOR PAGO PELO
COOPERATIVA;VIGÊNCIA DO CONTRATO;Nº DO CONTRATO;;;
;;;TONELADA TRIADA;2022;CONTRATO
Acobraz;06/2022 a 06/2023;34/2018;R$ 248,10;497,69;R$ 123.475,90
Ambiente;07/2022 a 07/2023;08/2018;R$ 304,14;3.931,78;R$ 1.195.811,60
Apcorc;09/2021 a 09/2023;39/2018;R$ 248,10;4.892,98;R$ 1.213.948,59
Cataguar;06/2022 a 06/2023;32/2018;R$ 248,10;2.200,16;R$ 545.860,81
Construir;07/2022 a 07/2023;12/2018;R$ 304,14;2.317,36;R$ 704.802,95
Coopativa;06/2022 a 06/2023;36/2018;R$ 304,14;698,68;R$ 212.497,20
Cooperdife;06/2022 a 06/2023;38/2018;R$ 304,14;1.847,08;R$ 561.770,40
Coopere;07/2022 a 07/2023;11/2018;R$ 304,14;849,03;R$ 258.223,22
Cooperfé;07/2022 a 07/2023;37/2022;R$ 353,58;*;*
Cooperlimpo;07/2022 a 07/2023;09/2018;R$ 248,10;2.391,39;R$ 593.303,86
Coopernoes;07/2022 a 07/2023;07/2018;R$ 304,14;1.062,84;R$ 323.252,69
Coorace;07/2022 a 07/2023;03/2018;R$ 304,14;1.370,40;R$ 416.792,14
Cootraempocap - ASAS;05/2022 a 05/2023;11/2021;R$ 353,58;2.297,74;R$ 812.435,37
Cortrap;07/2022 a 07/2023;10/2018;R$ 304,14;945,72;R$ 287.630,22
Plasferro;07/2022 a 07/2023;06/2018;R$ 304,14;2.399,13;R$ 729.669,93
Recicla Brasília;07/2022 a 07/2023;67/2018;R$ 304,14;1.431,34;R$ 435.327,26
Recicla Mais Brasil;06/2022 a 06/2023;35/2018;R$ 304,14;797,48;R$ 242.546,08
Recicle a Vida;06/2022 a 06/2023;31/2018;R$ 304,14;3.602,46;R$ 1.095.651,02
Renascer;06/2022 a 06/2023;33/2018;R$ 304,14;840,00;R$ 255.478,00
Renove;06/2022 a 06/2023;37/2018;R$ 248,10;2.355,12;R$ 584.305,54
TOTAL;;;;36.728,37 t;R$ 10.690.324,06
