;RESÍDUOS RECUPERADOS EM TONELADAS POR MÊS EM 2022 (TONELADAS);;;;;;;;;;;;;;;;;;;
;Mês;;;Diversos;;;Metal;;;Papel;;;Plástico;;;Vidro;;;Total Geral;
;Janeiro;;61,13;;;271,36;;;1.394,48;;;1.055,57;;;508,41;;;3.290,96;;
;Fevereiro;;57,19;;;233,07;;;1.267,79;;;1.147,13;;;551,87;;;3.257,05;;
;Março;;79,58;;;303,82;;;1.274,38;;;1.045,43;;;498,59;;;3.201,81;;
;Abril;;53,37;;;259,19;;;1.192,72;;;1.058,70;;;456,49;;;3.020,48;;
;Maio;;61,24;;;253,58;;;1.329,38;;;1.017,60;;;432,42;;;3.094,22;;
;Junho;;67,40;;;211,72;;;1.203,40;;;960,58;;;445,82;;;2.888,92;;
;Julho;;45,03;;;288,16;;;1.268,57;;;1.094,78;;;390,43;;;3.086,97;;
;Agosto;;47,62;;;240,27;;;1.257,13;;;1.016,13;;;505,17;;;3.066,33;;
;Setembro;;48,17;;;220,45;;;1.220,89;;;1.03,69;;;424,773;;;2.953,98;;
;Outubro;;46,36;;;263,23;;;1.215,74;;;997,69;;;442,979;;;2.966,01;;
;Novembro;;39,31;;;295,55;;;1.210,87;;;1.036,99;;;391,799;;;2.974,51;;
;Dezembro;;48,81;;;297,017;;;1.167,025;;;1.041,780;;;372,480;;;2.927,11;;
;Total;;;655,22;;;3.137,42;;;15.002,38;;;12.512,09;;;5.421,75;;;36.728,24;
