;;;;Família de materiais;;;;;;;;;;;;;;;;
;Cooperativa;;;Diversos;;;Metal;;;Papel;;;Plástico;;;Vidro;;;Total Geral;
;Acobraz;;;0,9%;;;1,3%;;;1,2%;;;0,8%;;;3,0%;;;1,4%;
;Ambiente;;;15,2%;;;5,0%;;;12,5%;;;9,7%;;;10,9%;;;10,7%;
;Apcorc;;;18,6%;;;20,9%;;;9,9%;;;20,3%;;;1,5%;;;13,3%;
;Cataguar;;;3,6%;;;8,6%;;;3,7%;;;10,6%;;;0,5%;;;6,0%;
;Construir;;;3,3%;;;2,3%;;;8,6%;;;6,3%;;;2,6%;;;6,3%;
;Coopativa;;;0,0%;;;1,9%;;;2,5%;;;1,5%;;;1,4%;;;1,9%;
;Cooperdife;;;3,6%;;;10,2%;;;3,6%;;;5,1%;;;6,0%;;;5,0%;
;Coopere;;;4,4%;;;1,9%;;;2,7%;;;1,7%;;;2,6%;;;2,3%;
;Cooperlimpo;;;0,0%;;;4,0%;;;2,5%;;;2,5%;;;29,1%;;;6,5%;
;Coopernoes;;;4,8%;;;1,4%;;;3,7%;;;1,7%;;;4,0%;;;2,9%;
;Coorace;;;3,4%;;;2,2%;;;5,1%;;;1,7%;;;5,7%;;;3,7%;
;Cootraempocap;;;2,0%;;;18,4%;;;9,5%;;;1,2%;;;2,3%;;;6,3%;
;Cortrap;;;7,3%;;;0,6%;;;3,4%;;;1,2%;;;4,1%;;;2,6%;
;Plasferro;;;12,7%;;;4,0%;;;7,3%;;;6,2%;;;5,8%;;;6,5%;
;Recicla Brasília;;;4,7%;;;2,4%;;;4,8%;;;2,4%;;;5,6%;;;3,9%;
;Recicla Mais Brasil;;;2,7%;;;1,2%;;;2,5%;;;1,1%;;;4,2%;;;2,2%;
;Recicle a Vida;;;3,6%;;;3,6%;;;8,6%;;;16,3%;;;2,5%;;;9,8%;
;Renascer;;;0,0%;;;0,8%;;;4,6%;;;1,0%;;;0,2%;;;2,3%;
;Renove;;;9,3%;;;9,1%;;;3,2%;;;8,7%;;;8,2%;;;6,4%;
;Total;;;100%;;;100%;;;100%;;;100%;;;100%;;;100%;
