COOPERATIVAS/ASSOCIAÇÕES COM CONTRATOS APENAS DE TRIAGEM;;;;;;;;;
Nº;NOME;ENDEREÇO;CNPJ;TOTAL DE CATADORES;;RA DE;;PRESIDENTE/ RESPONSÁVEL;E-MAIL
;;;;;;PRESTAÇÃO DE;;;
;;;;;;SERVIÇO;;;
1;Acobraz;AE nº.: 02 Lotes I, J, K e L – Setor Norte – Brazlândia/DF.;02.982.864/0001-81;22;Brazlândia;;;Marcone;acobraz34brazlandia@gmail.com
2;Apcorc;QNP 28 AE – UTMB – USINA Ceilândia/DF;02.130.641/0001-96;110;Ceilândia;;;Renato;associacaoapcorc@gmail.com
3;Cataguar;QNP 28 AE – UTMB – USINA Ceilândia/DF;07.030.564/0001-16;75;Ceilândia;;;Graça;contratoscataguar@gmail.com
4;Coopativa;SIA. Trecho 17 Lote 1.660/1.700 – Brasília/DF;05.247.950/0001-39;30;SIA;;;Francisco;coopativabrasilia@gmail.com
5;Cooperlimpo 1;L4 Sul, AE – UTL – USINA Asa Sul – Brasília/DF;20.646.087/0001-86;65;Asa Sul;;;Mesac;cooperativacooperlimpodobrasil@gmail.com
6;Cooperlimpo 2;SAAN QUADRA 2, LOTE 650;20.646.087/0001-86;25;SAAN;;;Mesac;cooperativacooperlimpodobrasil@gmail.com
7;Cooperfé;SCIA Quadra 9, conj. 01, lote 02 – Brasília/DF;33.625.924/0001-32;60;SCIA;;;Dilei;coop.cooperfe@gmail.com
8;Coorace;Centro Integrado de Resíduos – Pátio Ferroviário – Brasília/DF;10.726.502/0001-58;35;SCIA;;;Lúcia;presid.lucia.coorace@gmail.com
