;;;;IRR P SUL;;;;;;IRR SCIA Q. 09;;;;
Mês;;;;Quantidade;;Quantidade Mensal de Rejeito (Ton);;;Quantidade Mensal Recebida (Ton);;;Quantidade Mensal de Rejeito (Ton);;
;;;;Mensal Recebida;;;;;;;;;;
;;;;(Ton);;;;;;;;;;
;Janeiro;;572,21;;;311,67;;;529,73;;;409,58;;
;Fevereiro;;429,71;;;270,86;;;528,66;;;346,77;;
;Março;;485,19;;;242,01;;;476,51;;;330,11;;
;Abril;;510,96;;;278,98;;;458,24;;;302,87;;
;Maio;;608,56;;;302,89;;;455,42;;;275,99;;
;Junho;;598,59;;;261,06;;;529,19;;;211,71;;
;Julho;;;583,84;;;304,26;;;481,84;;;221,95;
;Agosto;;;586,15;;;323,17;;;489,38;;;276,09;
;Setembro;;;533,13;;;310,97;;;523,82;;;257,86;
;Outubro;;;561,83;;;289,50;;;468,43;;;218,01;
;Novembro;;;623,20;;;384,25;;;500,45;;;285,66;
;Dezembro;;;414,62;;;215,60;;;367,73;;;195,44;
;TOTAL;;;6.509,13;;;3.495,75;;;5.808,26;;;3.332,04;
