IRR/CTR;;;;o r ie n a J;;;o r ie r e v e F;;;o ç r a M;;;lir b A;;;o ia M;;;o h n u J;;;o h lu J;;;o t s o g A;;;o r b m e t e S;;;o r b u t u O;;;o r b m e v o N;;;o r b m e z e D;;;la r e G la t o T;
CTR 1;;;711,33;;;651,38;;;668,39;;;707,99;;;590,03;;;588,47;;;762,32;;;792,66;;;793,99;;;768,65;;;745,04;;;1.198,48;;;8.978,73;;
SUMA BRASIL;;;695,91;;;619,78;;;617,43;;;639,65;;;524,93;;;472,80;;;687,43;;;715,72;;;731,81;;;717,60;;;692,64;;;1.117,93;;;8.233,63;;
VALOR AMBIENTAL LTDA;;;2,15;;;20,44;;;33,44;;;57,63;;;43,72;;;41,37;;;0,84;;;1,63;;;6,78;;;5,66;;;3,10;;;15,48;;;232,24;;
COOPERNOES;;;0;;;0;;;0;;;0;;;0;;;5,15;;;20,80;;;25,04;;;18,65;;;15,95;;;9,64;;;10,96;;;106,2;;
CTELS;;;0;;;0;;;0;;;0;;;0;;;17,09;;;8,83;;;11,50;;;8,87;;;12,26;;;11,90;;;16,98;;;87,4;;
FLOR DO CERRADO;;;0;;;0;;;0;;;0;;;0;;;32,48;;;25,28;;;20,42;;;18,40;;;17,18;;;17,64;;;23,78;;;155,2;;
VENCENDO OBSTACULOS;;;13,27;;;11,16;;;17,52;;;10,71;;;21,38;;;19,58;;;19,14;;;18,35;;;9,48;;;10,48;;;10,12;;;13,35;;;164,1;;
CTR 2;;;694,61;;;610,7;;;714,16;;;564,86;;;845,59;;;804,83;;;535,16;;;686,43;;;534,62;;;511,58;;;591,78;;;947,00;;;8.041,32;;
SUMA BRASIL;;;46,36;;;37,2;;;26,19;;;2,48;;;206,59;;;231,83;;;14,85;;;57,70;;;19,84;;;0,00;;;97,63;;;0,00;;;740,67;;
VALOR AMBIENTAL LTDA;;;622,72;;;527,14;;;617,94;;;540,65;;;573,44;;;470,31;;;443,97;;;522,15;;;418,32;;;421,57;;;408,98;;;835,78;;;6.402,97;;
CONSTRUIR;;;0;;;0;;;0;;;0;;;0;;;27,08;;;10,72;;;20,64;;;22,17;;;19,58;;;19,68;;;25,69;;;145,56;;
NOVA SUPERAÇÃO;;;0;;;0;;;0;;;0;;;6,2;;;9,11;;;7,61;;;7,75;;;8,72;;;14,12;;;12,89;;;13,94;;;67,45;;
RECICLA BRASILIA;;;25,53;;;46,36;;;70,03;;;21,73;;;59,36;;;49,69;;;41,43;;;55,17;;;51,45;;;42,88;;;38,96;;;52,55;;;555,138;;
RECICLO;;;0;;;0;;;0;;;0;;;0;;;16,81;;;16,58;;;23,02;;;14,12;;;13,43;;;13,64;;;19,04;;;116,64;;
IRR P SUL;;;572,21;;;429,71;;;485,19;;;510,96;;;608,56;;;598,59;;;584,98;;;586,15;;;533,13;;;561,83;;;623,20;;;414,62;;;6.509,13;;
SUMA BRASIL;;;0;;;2,37;;;0;;;0;;;0;;;0;;;0;;;0;;;0,91;;;0,00;;;0,00;;;16,89;;;20,17;;
;SUSTENTARE;;536,9;;;398,61;;;453,81;;;484,43;;;568,11;;;540,90;;;523,75;;;521,55;;;471,61;;;506,62;;;566,73;;;333,27;;;5906,29;;
;SANEAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COOPERE;;;35,31;;;28,73;;;31,38;;;26,53;;;32,09;;;31,57;;;31,88;;;32,53;;;34,67;;;33,28;;;35,33;;;44,70;;;398;;
