;;,B S A L A O S S E P;,E R U;S A / A V IT A R E P O O C;E O Ã Ç A IC O S;S A N IS U;;;;o s iP e d la c s iF;;;e d ro d a re p O;a n iu q á M;;;a ts iro to M;;;s o d a g e rra c n E;;;e tn e v re S;;;ra ilix u A;la n o ic a re p O;;;la o s s e P;o v ita rts in im d A;;;o rie h n e g n E;;;/ s e ro d a ta C;m e g a irT;;;e d ro d a re p O;le n ia P;;ro d a tn e irO;la n o ic a re p O;;;e d ra ilix u A;o ã ç n e tu n a M;;;a ts ic irte lE;;;ro d a d lo S;;;o c in â c e M;;;e tn e re G;la n o ic a re p O;;;e d o c in c é T;o d a ç n a ru g e S;o h la b a rt;;;o c in c é T e tn e ts is s A;;;m e g a s e P e d la c s iF;;;/ ro d a v a l/ ro tn iP;/ o rie rd e P;.x u A / a ig iV;o d a fira x o m lA;;;o c im íu Q;;;L A T O T;
;Operação e;;;;;;;;59;;;9;;;;19;;;0;;;18;;;3;;;;0;;;;0;;;0;;;;0;;;0;;;;4;;;;2;;;2;;;4;;;0;;;;0;;;;;0;;;0;;;0;;;;;;0;;;120;;
;Manutenção URE -;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Valor Ambiental;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Valor Ambiental -;;;;;;;;0;;;3;;;;0;;;0;;;0;;;0;;;;0;;;;0;;;0;;;;1;;;0;;;;1;;;;0;;;0;;;0;;;0;;;;2;;;;;0;;;0;;;0;;;;;;0;;;7;;
;Usina L4 Sul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Valor Ambiental -;;;;;;;;0;;;9;;;;3;;;1;;;26;;;6;;;;0;;;;0;;;0;;;;3;;;0;;;;6;;;;4;;;2;;;6;;;1;;;;3;;;;;1;;;3;;;8;;;;;;1;;;83;;
;Usina Psul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consórcio;;;;;;;;3;;;14;;;;11;;;5;;;3;;;23;;;;6;;;;2;;;0;;;;0;;;0;;;;1;;;;0;;;0;;;0;;;0;;;;1;;;;;1;;;3;;;8;;;;;;0;;;81;;
;Sustentare-Valor:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Operação e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Manutenção ASB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hydros - Tratamento;;;;;;;;0;;;4;;;;0;;;1;;;0;;;4;;;;4;;;;0;;;0;;;;0;;;0;;;;1;;;;0;;;0;;;0;;;1;;;;0;;;;;0;;;0;;;0;;;;;;0;;;15;;
;de chorume ASB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL;;;;;;;;;62;;;39;;;;33;;;7;;;47;;;36;;;;10;;;;2;;;0;;;;4;;;0;;;;13;;;;6;;;4;;;10;;;2;;;;6;;;;;2;;;6;;;16;;;;;;1;;;306;;
