;DIVISÃO DO ORÇAMENTO (R$);;;;;;;;;;;;;;;;
TIPO DE DESPESA;;;;VALOR LIQUIDADO;;;;;;;;;;;;;
;;;;Pessoal Técnico;;Limpeza Pública;;;Obras /Mat. Perm.;;;Manutenção Administrativa;;;Total mensal;;
;;;;Administrativo*;;;;;;;;;;;;;
;Janeiro;;R$ 8.218.015,68;;;R$ 55.983.675,61;;;-;;;R$ 677.027,84;;;;R$ 64.878.719,13;
;Fevereiro;;R$ 8.063.104,29;;;R$ 54.002.805,09;;;R$ 9.844,13;;;R$ 699.460,87;;;;R$ 62.775.214,38;
;Março;;R$ 8.177.138,06;;;R$ 57.662.570,82;;;R$ 1.278,90;;;R$ 708.866,63;;;;R$ 66.549.854,41;
;Abril;;R$ 7.270.916,86;;;R$ 68.927.219,56;;;-;;;R$ 772.690,53;;;;R$ 76.970.826,95;
;Maio;;R$ 7.356.374,88;;;R$ 41.769.782,95;;;R$ 6.912,97;;;R$ 704.295,02;;;;R$ 49.837.365,82;
;Junho;;R$ 7.493.997,23;;;R$ 61.538.285,75;;;-;;;R$ 821.022,62;;;;R$ 69.853.305,60;
;Julho;;R$ 8.873.677,96;;;R$ 52.666.641,06;;;-;;;R$ 587.717,13;;;;R$ 62.128.036,15;
;Agosto;;R$ 8.628.493,85;;;R$ 51.030.210,05;;;R$ 26.696,00;;;R$ 732.626,21;;;;R$ 60.418.026,11;
;Setembro;;R$ 8.555.389,91;;;R$ 55.078.378,95;;;R$ 3.820,00;;;R$ 1.100.599,48;;;;R$ 64.738.188,34;
;Outubro;;R$ 7.885.390,83;;;R$ 54.882.295,80;;;R$ 40.051,50;;;R$ 942.547,38;;;;R$ 63.750.285,51;
;Novembro;;R$ 7.790.020,70;;;R$ 59.455.893,99;;;R$ 65.024,87;;;R$ 1.373.096,45;;;;R$ 68.684.036,01;
;Dezembro;;R$ 8.751.426,49;;;R$ 22.771.119,29;;;R$ 1.361.731,07;;;R$ 1.563.389,29;;;;R$ 34.447.666,14;
;TOTAL;;;R$ 97.063.946,74;;;R$ 635.768.878,91;;;R$ 1.515.359,44;;;R$ 10.683.339,45;;;R$ 745.031.524,54;
;Média/Mês;;;R$ 8.088.662,23;;;R$ 52.980.739,91;;;R$ 126.279,95;;;R$ 890.278,29;;;R$ 62.085.960,38;
