Nº;CONTRATO Nº;EMPRESA;;;;DATA DE;;OBJETO;;;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;;
;;;;;;ASSINATURA/;;;;;;;;;
;;;;;;INÍCIO DA VIGÊNCIA;;;;;;;;;
1;22/2010;AR (CONDOMÍNIO);;;17/09/2010;;;ALUGUEL DA SEDE - 6º ANDAR;;;18/09/2025;Valor Global: 1.606.579,68;;LUÍS FERNANDO MONTEIRO;
;;;;;;;;;;;;;;BARBOSA, FLÁVIO DE QUEIROZ;
;;;;;;;;;;;;;;MACEDO;
2;05/2022;NEOENERGIA DISTRIBUICAO BRASILIA S.A;;;03/05/2022;;;;DEMANDA E FORNECIMENTO DE ENERGIA;;03/05/2027;TOTAL: R$ 275.000,00;EDSON RODRIGUES DA SILVA e MARIA PINTO BRANDÃO;;
;;;;;;;;;ELÉTRICA PARA A LOCALIDADE: COMPLEXO;;;;;;
;;;;;;;;;NORTE – SGO, QUADRA 05, LOTE 23 – BRASÍLIA-;;;;;;
;;;;;;;;;DF;;;;;;
3;06/2022;NEOENERGIA DISTRIBUICAO BRASILIA S.A;;;20/04/2022;;;;DEMANDA E FORNECIMENTO DE ENERGIA;;20/04/2027;TOTAL: R$ 66.539,00;GUSTAVO DE OLIVEIRA COSTA e ALLAN ADJUTO CHAVES SOUSA;;
;;;;;;;;;ELÉTRICA PARA A LOCALIDADE: ÁREA ESPECIAL;;;;;;
;;;;;;;;;QUADRA 15 CONJUNTO C1 - SCIA, CIDADE;;;;;;
;;;;;;;;;ESTRUTURAL;;;;;;
4;07/2022;;NEOENERGIA DISTRIBUICAO;;07/06/2022;;;;DEMANDA E FORNECIMENTO DE ENERGIA;;07/06/2027;TOTAL: R$ 29.617,92;;JANAILDA PEREIRA DOS SANTOS e;
;;;BRASILIA S.A;;;;;;ELÉTRICA PARA VÁRIAS LOCALIDADES;;;;;MARLY TEIXEIRA DE ARAÚJO,;
5;21/2017;PILARES SERVIÇOS ADMINISTRATIVOS LTDA;;;26/07/2017;;;;LOCAÇÃO DE GALPÃO PARA A INSTALAÇÃO DE;;26/07/2024;Valor Global: R$ 501.600,00;;ADRIANA CESÁRIO DA CONCEIÇÃO,;
;;;;;;;;;CENTRO DE TRIAGEM - SCIA, GUARÁ,;;;;;ANDRÉ LUIZ JUNQUEIRA;
;;;;;;;;;BRASÍLIA/DF;;;;;GUIMARÃES;
6;30/2017;NAVARRO PROCESSAMENTO DE DADOS LTDA – ME;;;17/10/2017;;;;LOCAÇÃO DE GALPÃO PARA A INSTALAÇÃO DE;;17/10/2024;Valor Global: 402.833,20;ANDRE LUIZ JUNQUEIRA GUIMARÃES/ LUCAS LEVI DE JESUS SANTANA;;
;;;;;;;;;CENTRO DE TRIAGEM NO SETOR DE;;;;;;
;;;;;;;;;ARMAZENAMENTO E ABASTECIMENTO NORTE;;;;;;
;;;;;;;;;– SAAN, BRASÍLIA/DF;;;;;;
7;30/2018;NOTORIUN TECNOLOGIA EM SOFTWARE LTDA - EPP;;;15/05/2018;;;EMPRESA ESPECIALIZADA EM GERAÇÃO DE RELATÓRIOS.;;;22/11/2023;2200000;;DOUGLAS GASPARINI DE LIMA /;
;;;;;;;;;;;;;;LEANDRO HENRIQUE ANTUNES DE;
;;;;;;;;;;;;;;CARVALHO;
8;51/2018;TECNOLTA EQUIPAMENTOS ELETRÔNICOS;;;01/07/2019;;;SERVIÇOS OUTSOURCING DE IMPRESSÃO;;;28/12/2023;142357,02;Antonio José Correa e Fernando Sabino Amurim;Antonio José Correa e Fernando;
9;61/2018;NEOENERGIA DISTRIBUICAO BRASILIA S.A;;;21/01/2019;;;IRR P SUL - CEILÂNDIA;;;29/11/2023;Valor Global R$ 76.800,00;DELIVAL LEMOS DE SOUZA e GILDAIRES APARECIDO SOBRINHO;;
10;62/2018;NEOENERGIA DISTRIBUICAO BRASILIA S.A;;;22/01/2019;;;IRR SCIA - BRASÍLIA;;;29/11/2023;Valor Global R$ 76.800,00;GILDAIRES APARECIDO SOBRINHO e DELIVAL LEMOS DE SOUZA;;
;;;;;;;;;;;;;;DELIVAL LEMOS DE SOUZA;
11;63/2018;CENTRO BRASILEIRO DE PESQUISA EM AVALIAÇÃO E SEÇÃO E DE PROMOÇÃO DE EVENTOS - CEBRASPE;;;21/12/2018;;;CONCURSO PÚBLICO;;;21/12/2023;0;;EDMUNDO PACHECO GADELHA/;
;;;;;;;;;;;;;;ALBERTO CORREA BORGES/;
;;;;;;;;;;;;;;FRANCISCO SOARES FILHO/;
;;;;;;;;;;;;;;CLAUDIA DE SOUSA RAMALHO/;
;;;;;;;;;;;;;;AVELANGE PEREIRA DURÕES;
12;20/2019;;EMPRESA BRASILEIRA DE;;10/06/2019;;;FORNECIMENTO DE SERVIÇO DE VENDAS DE PRODUTOS DE CORREIOS;;;10/06/2024;19200;RUBENS BARROZO DA SILVA / ROGER FRAGOSO SOUZA;;
;;;CORREIOS E TELEGRAFOS -;;;;;;;;;;;;
;;;ECT;;;;;;;;;;;;
13;25/2019;GOLDI SERVIÇOS E ADMINISTRAÇÃO LTDA;;;10/12/2019;;;ABASTECIMENTO DE VEÍCULOS;;;10/12/2024;557856;;LUÍS FERNANDO MONTEIRO;
;;;;;;;;;;;;;;BARBOSA e CARLOS ALBERTO DO;
;;;;;;;;;;;;;;NASCIMENTO ARAÚJO;
