;;;;quantidades e exigências estabelecidas no Termo de Referência;;;;;
26;05/2023;FCB TRANSPORTES LOGÍSTICA E SERVIÇOS GERAIS LTDA;28/04/2023;;Prestação de serviços de locação de veículos,;;27/04/2024;GLOBAL: R$ 1.143.390,77;ANDERSON FERNANDES DE MOURA, LUÍS FERNANDO MONTEIRO BARBOSA, RAONE ANDRE LIMA DA CRUZ e GEOVANI LOPES FERNANDES
;;;;;máquinas e equipamentos/implementos,;;;;
;;;;;incluindo a operação, manutenção preventiva e;;;;
;;;;;corretiva, fornecimento de combustível, para a;;;;
;;;;;formação e operação de “PATRULHA;;;;
;;;;;MECANIZADA”, sob;;;;
;;;;;demanda;;;;
27;11/2023;UATUMÃ TURISMO E EVENTOS EIRELI;27/09/2023;;O Contrato tem por objeto a prestação de;;27/09/2024;R$ 53.730,00 (cinquenta e três mil setecentos e trinta reais);THAYANE DAS NEVES SOARES, BRUNA TOLEDO DE ARAUJO MELO
;;;;;serviços de agenciamento de viagens,;;;;
;;;;;compreendendo a reserva, emissão, marcação,;;;;
;;;;;remarcação e cancelamento de bilhetes de;;;;
;;;;;passagens aéreas (nacionais e internacionais) e;;;;
;;;;;terrestres (nacionais apenas), consoante;;;;
;;;;;especifica o Edital (113754232), o Termo de;;;;
;;;;;Referência e a Autorização de Adesão à Ata;;;;
;;;;;Registro de Preço-ARP 01/2023 (117356330),;;;;
28;13/2023;OTC.DOC ORGANIZAÇÃO TECNOLOGIA E CUSTÓDIA DE DOCUM;11/08/2023;;O Contrato tem por objeto a contratação de;;11/08/2024;2565800;ROGER FRAGOSO SOUZA, MARIA DE JESUS DA SILVA, e FLAVIANA SILVA OLIVEIRA
;;;;;empresa especializada para prestação de;;;;
;;;;;serviços de prestação de serviços, por;;;;
;;;;;demanda, de tratamento arquivístico de;;;;
;;;;;documentos e processos, digitalização e;;;;
;;;;;microfilmagem do acervo documental do órgão,;;;;
;;;;;elaboração de Código de Classificação de;;;;
;;;;;Documentos de Arquivo (CCD) e Tabela de;;;;
;;;;;Temporalidade de Documento (TTD), de forma;;;;
;;;;;a preservar a documentação, modernizar as;;;;
;;;;;ações e facilitar a busca, localização e acesso de;;;;
;;;;;documentos do acervo, consoante especifica o;;;;
;;;;;Edital de Pregão Eletrônico Nº 08/2022 -;;;;
;;;;;(119340471), da Ata de Registro de Preços n.º;;;;
;;;;;14/2022 (119339209), da Proposta;;;;
;;;;;(119536284), do Termo de Referência;;;;
;;;;;(118577643), que passam a integrar o presente;;;;
;;;;;Termo.;;;;
29;14/2023;EMPRESA AMORIM E BANDEIRA CONSTRUÇÃO E SERVICOS LTDA;31/08/2023;;O Contrato tem por objeto a prestação de;;31/08/2024;1524996;LUÍS FERNANDO MONTEIRO BARBOSA, Mat. 281.719-5 GEOVANI LOPES FERNANDES, SERGIO FERNANDES DE FARIA, MARIA DE JESUS DA SILVA
;;;;;serviços de manutenção predial preventiva,;;;;
;;;;;preditiva, corretiva e emergencial das;;;;
;;;;;instalações elétricas, hidrossanitárias, ar;;;;
;;;;;condicionado, detecção, alarme e combate a;;;;
;;;;;incêndio, SPDA, distribuição de energia, e;;;;
;;;;;demais elementos prediais civis, pertencentes;;;;
;;;;;aos Edifícios do SLU bem como serviços eletivos;;;;
;;;;;(pequenas adaptações em ambiente), com;;;;
;;;;;fornecimento de mão de obra, insumos,;;;;
;;;;;equipamentos, ferramentas e veículos,;;;;
;;;;;consoante especifica o Edital do Pregão;;;;
;;;;;Eletrônico nº 12/2023-SLU/DF (115296186) e a;;;;
;;;;;Proposta de Preços (118719956), que passam a;;;;
