Nº;CONTRATO Nº;;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;;;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES
;;EMPRESA;;;;;;;
1;29/2021;;30/12/2021;;Implantação e manutenção de barreira vegetal na;;30/12/2023;R$ 314.025,56;GUSTAVO PEREIRA DE MENEZES/ PEDRO HENRIQUE FERREIRA CASTRO MAGALHÃES
;;PROERG PROJETOS E;;;;;;;
;;;;;Usina de Tratamento Mecânico-Biológico do P.;;;;
;;EMPREENDIMENTOS LTDA;;;;;;;
;;;;;Su.;;;;
2;12/2023;;10/08/2023;;O Contrato tem por objeto a prestação de serviço;;09/08/2024;R$ 135.526.380,00;ANA SOFIA CAVALCANTI JUCÁ, JULIANA FRUTUOSO GOMES, THIAGO BRAGA PINHEIRO e ADAUTO FERNANDES DOS REIS
;;;;;de implantação, operação e manutenção das;;;;
;;;;;Etapas 3 e 4 do Aterro Sanitário de;;;;
;;;;;Brasília, localizado na Rodovia DF 180, km 16 -;;;;
;;;;;Proximidades da Estação de Tratamento de;;;;
;;;;;Esgoto - ETE Melchior - Região Administrativa de;;;;
;;CONSÓRCIO SUSTENTARE-;;;;;;;
;;;;;Samambaia/DF., conforme as especificações,;;;;
;;VALOR;;;;;;;
;;;;;quantidades e condições constantes do Anexo I;;;;
;;;;;do Edital de Concorrência nº 01/2022-;;;;
;;;;;SLU/DF(108000403, 108001522) e da Proposta de;;;;
;;;;;Preços (119449953), que passam a integrar o;;;;
;;;;;presente instrumento, sem necessidade de;;;;
;;;;;transcrição na integra.;;;;
