Nº;CONTRATO Nº;EMPRESA;;DATA DE;;OBJETO;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;;
;;;;ASSINATURA/;;;;;;;
;;;;INÍCIO DA VIGÊNCIA;;;;;;;
1;18/2019;VALOR AMBIENTAL LTDA;04/07/2019;;;SERVIÇO DE COLETA URBANA - LOTE I;04/07/2024;R$ 863.499.923,98;;JOSÉ LÚCIO LOPES/ VALDEMIR INÁCIO ATAÍDE/ PAULO;
;;;;;;;;;;PEREIRA DIAS/ EGMO MÁRIO LOPES DA SILVA/;
;;;;;;;;;;JOAQUINA FONSECA DA SILVA/ MARIA VITORIA NAVA;
;;;;;;;;;;SILVA DO CARMO/ MAYARA JORDANA BARROS;
;;;;;;;;;;OLIVEIRASANTOS/ DANIEL MARLON RODRIGUES;
;;;;;;;;;;GUEDES/ RANIELLE LINHARIS DA SILVA/ ANA CAROLINA;
;;;;;;;;;;PEREIRA DE SOUSA/ CAMILA LOPES DOS SANTOS/;
;;;;;;;;;;GABRIEL MIRANDA SERRÃO/ LUCICLÉIA CASTRO DE;
;;;;;;;;;;OLIVEIRA/ ANGÉLICA CÁSSIA DE ALMEIDA/ ADRIANO;
;;;;;;;;;;WAMBIER GUSSO/ EFIGÊNIA LUSTOSA NOGUEIRA/;
;;;;;;;;;;PEDRO HENRIQUE FERREIRA CASTRO MAGALHÃES;
2;19/2019;SUSTENTARE SANEAMENTO S/A;05/07/2019;;;SERVIÇO DE COLETA URBANA - LOTE II;05/10/2024;R$ 556.148.576,56;;EVERALDO ANTÔNIO DE ARAÚJO,/ DIVINO ETERNO;
;;;;;;;;;;RIBEIRO/ALDEMIR FERREIRA TAVARES/ MARCUS;
;;;;;;;;;;VINICIUS DE RESENDE;
;;;;;;;;;;MAIA LEITE/ MARCELO LOPES VIEIRA BEZERRA/;
;;;;;;;;;;EDVALDO DE JESUS/ EDSON DE SOUZA OLIVEIRA/;
;;;;;;;;;;FREDERICO MARX OLIVEIRA SILVA/ DANIEL MARLON;
