Nº;;;SEDE;NÚCLEO;;;RA;;;ENDEREÇO;;;PROPRIEDADE;;;SITUAÇÃO;;;ÁREA TOTAL;;;ÁREA;
;;;;;;;;;;;;;;;;;;;;;;CONSTRUÍDA;
;;;;;;;;;;;;;;;;;;;M2;;M2;;
1;;;Administração;SEDE SLU;;;Brasília;;;;SCS – QUADRA 08 – Bloco B50 – 6º Andar - Ed.;;Particular;;;Alugado;;;-;;2.149,00;;
;;;;;;;;;;;Venâncio 2000;;;;;;;;;;;;
;2;;NÚCLEOS REGIONAIS;;NUCLA;;;Águas Claras;;;Parque do Areal - Areal;;;IBRAM;;;Empréstimo;;;;;;
;3;;;;NUBRA;;;Brazlândia;;;Área Especial nº 02 Norte;;;Próprio;;;Regularizado;;25.000,00;;;533,00;
;4;;;;NUCEI;;;Ceilândia;;;QNN 29 módulo G a K Área Especial;;;Próprio;;;Regularizado;;25.000,00;;;295,20;
5;;;;NUEST;;;Cidade Estrutural;;;AE. Quadra 15, Conj. C1;;;TERRACAP;;;;Processo Regularização 00111-;;7.200,00;;766,00;;
;;;;;;;;;;;;;;;;;00016598/2017-01;;;;;;
;6;;;;NUTAG;;;Taguatinga;;;QNG 47 Área Especial 09 Taguatinga;;;Próprio;;;Regularizado;;7.200,00;;;306,00;
;7;;;;NUPLA;;;Planaltina;;;A/E Norte LT. 11/12;;;Próprio;;;Regularizado;;10.789,00;;;263,00;
;8;;;;NUSOB;;;Sobradinho;;;A/E Indústria 3 LT 04/06;;;Próprio;;;Regularizado;;30.000,00;;;721,00;
9;;;;NUSEB;;;São Sebastião;;;;Quadra 305, Conj. 14 Lote 02, Bairro;;TERRACAP;;;;Processo Regularização;;-;;-;;
;;;;;;;;;;;Residencial Oeste;;;;;;094.000943/2011;;;;;;
10;;;;NUGUA;;;Guará;;;;Área Especial do CAVE- Adm. Regional do;;;Administração Regional do;;Emprestimo;;;-;;-;;
;;;;;;;;;;;Guará;;;Guará;;;;;;;;;
11;;;;NUBAN;;;Núcleo Bandeirante;;;Praça Padre Roque, 3ª Avenida, Projeção 2;;;;Administração Regional do;;Emprestimo;;;-;;-;;
;;;;;;;;;;;;;;N. Bandeirante;;;;;;;;;
;12;;;;NUPAR;;;Paranoá/Itapoã;;;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";;;TERRACAP;;;Cedido;;4.105,34;;;-;
;13;;;;NUBSB;;;Asa Sul;;;Avenida das Nações S/N;;;Próprio;;;Regularizado;;116.469,07;;;9.737,00;
;14;;;;NUGAM;;;Gama;;;AV. Contorno A/E 2 Setor Norte -Gama;;;Próprio;;;Regularizado;;80.000,00;;;-;
15;;;;NURIF;;;Riacho Fundo I;;;;QN. 09, Área Especial 03, Lote 06 – Adm.;;;Administração Regional do;;Emprestimo;;;-;;-;;
;;;;;;;;;;;Riacho Fundo;;;Riacho Fundo I;;;;;;;;;
16;;;;NUSAM;;;Samambaia;;;;Área Especial, s/nº QS 302 - Centro Urbano -;;;Administração Regional de;;Empréstimo;;;-;;-;;
;;;;;;;;;;;Samambaia Sul;;;Samambaia;;;;;;;;;
17;;;;NUMAR;;;Santa Maria;;;;"CL 408, Bloco ""A"" Área Especial - Santa Maria";;;Administração Regional de;;Empréstimo;;;-;;-;;
;;;;;;;;;;;Sul;;;Santa Maria;;;;;;;;;
