;Unidade;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;DEZ;Total;;;Média;
;Águas Claras;;1,26;;;1,49;;;7,89;;;11,16;;;14,33;;;10,75;;;13,91;;;13,39;;;17,82;;;28,52;;;20,65;;20,69;161,86;;;13,49;
;Asa sul;;3,24;;;0,39;;;20,03;;;15,92;;;15,09;;;14,31;;;13,59;;;19,72;;;14,28;;;16,90;;;19,45;;17,24;170,16;;;14,18;
;Brazlândia 1;;5,12;;;0,00;;;0,00;;;3,16;;;2,89;;;0,93;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;1,96;14,06;;;1,17;
;Brazlândia 2;;0,00;;;0,95;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;0,00;0,95;;;0,08;
;Ceilândia 1;;32,50;;;39,99;;;11,21;;;16,03;;;7,26;;;13,31;;;11,39;;;15,88;;;10,55;;;9,27;;;18,25;;16,80;202,44;;;16,87;
;Ceilândia 2;;15,32;;;4,87;;;2,57;;;2,59;;;0,60;;;0,00;;;0,00;;;2,77;;;1,00;;;2,27;;;10,07;;21,39;63,45;;;5,29;
;Gama 1;;60,94;;;39,05;;;19,01;;;27,52;;;25,52;;;30,37;;;29,00;;;28,07;;;30,24;;;35,15;;;37,58;;49,01;411,46;;;34,29;
;Gama 2;;0,94;;;0,99;;;1,49;;;1,32;;;0,00;;;0,00;;;0,98;;;0,00;;;0,00;;;0,00;;;0,00;;0,00;5,72;;;0,48;
;Guará 1;;11,48;;;11,92;;;32,83;;;27,33;;;31,82;;;21,58;;;29,63;;;35,18;;;26,28;;;40,26;;;31,12;;35,66;335,09;;;27,92;
;Guará 2;;6,21;;;4,91;;;3,52;;;0,00;;;0,00;;;5,76;;;1,06;;;4,82;;;5,20;;;9,97;;;9,74;;21,26;72,45;;;6,04;
;Paranoá;;0,00;;;0,00;;;0,00;;;1,61;;;0,00;;;0,00;;;0,00;;;4,42;;;3,04;;;4,04;;;5,45;;13,61;32,17;;;2,68;
;Planaltina;;4,48;;;8,58;;;8,55;;;8,33;;;2,09;;;7,22;;;5,55;;;6,64;;;9,80;;;5,15;;;15,67;;5,24;87,30;;;7,28;
;Pôr do Sol;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;0,00;0,00;;;0,00;
;Recanto das Emas;;1,39;;;0,00;;;7,26;;;2,67;;;0,00;;;4,22;;;2,69;;;1,33;;;0,90;;;6,13;;;1,52;;4,76;32,87;;;2,74;
;Samambaia;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;1,61;;;7,32;;;13,43;;;1,02;;4,10;27,48;;;54,96;
;Santa Maria 1;;2,78;;;7,43;;;13,52;;;0,00;;;4,13;;;1,23;;;1,73;;;3,18;;;4,44;;;4,41;;;6,73;;3,28;52,86;;;4,41;
;Santa Maria 2;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;4,06;;;5,30;;;3,59;;;0,00;;;0,00;;;2,18;;0,00;15,13;;;1,26;
;São Sebastião 1;;1,42;;;3,82;;;14,76;;;10,86;;;16,80;;;4,73;;;1,67;;;1,39;;;0,00;;;0,00;;;0,00;;2,43;57,88;;;4,82;
;São Sebastião 2;;0,00;;;1,49;;;6,16;;;7,71;;;2,35;;;11,55;;;9,60;;;1,40;;;0,00;;;0,00;;;0,00;;0,00;45,69;;;3,81;
;Sobradinho I - 1;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;7,14;;;6,46;;;9,90;;;12,50;;16,18;52,18;;;4,35;
;Sobradinho I - 2;;1,00;;;0,00;;;3,18;;;1,80;;;2,91;;;1,33;;;2,99;;;0,00;;;6,85;;;5,91;;;5,87;;15,98;47,82;;;3,99;
