;Unidade;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;SET;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Águas Claras;;2,43;;;2,91;;;18,28;;;10,58;;;5,58;;;10,26;;;11,58;;;9,23;;13,56;;14,09;;16,51;;;12,67;;;;127,68;;;10,64;
;Asa sul;;8,51;;;2,95;;;24,72;;;19,81;;;13,75;;;7,79;;;7,63;;;7,64;;13,39;;9,39;;12,11;;;14,42;;;;142,11;;;11,84;
;Brazlândia 1;;0,95;;;0,00;;;0,00;;;1,29;;;1,27;;;1,62;;;1,79;;;0,00;;1,84;;0,00;;4,23;;;2,58;;;;15,57;;;1,30;
;Brazlândia 2;;1,33;;;2,03;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;0,00;;0,00;;0,00;;;0,00;;;;3,36;;;0,28;
;Ceilândia 1;;61,29;;;29,39;;;38,11;;;33,76;;;45,76;;;52,07;;;29,27;;;42,48;;32,72;;36,70;;32,25;;;23,75;;;;457,55;;;38,13;
;Ceilândia 2;;17,86;;;9,96;;;1,98;;;8,18;;;2,29;;;2,14;;;1,93;;;5,22;;6,03;;11,88;;7,36;;;31,57;;;;106,40;;;8,87;
;Gama 1;;64,13;;;53,06;;;20,32;;;27,60;;;24,37;;;20,23;;;20,49;;;16,21;;20,45;;28,00;;16,14;;;33,78;;;;344,78;;;28,73;
;Gama 2;;5,49;;;2,58;;;1,96;;;0,00;;;0,99;;;0,00;;;0,00;;;0,00;;0,00;;0,00;;0,00;;;0,00;;;;11,02;;;0,92;
;Guará 1;;7,29;;;27,24;;;22,73;;;23,84;;;21,68;;;17,65;;;28,16;;;19,54;;43,35;;31,54;;34,71;;;21,97;;;;299,70;;;24,98;
;Guará 2;;6,90;;;5,06;;;0,00;;;0,00;;;1,97;;;0,00;;;3,25;;;8,96;;7,49;;9,69;;14,15;;;18,55;;;;76,02;;;6,34;
;Paranoá;;0,00;;;0,00;;;0,00;;;0,00;;;1,97;;;0,00;;;0,00;;;3,24;;1,61;;5,83;;4,12;;;10,44;;;;27,21;;;2,27;
;Planaltina;;18,09;;;10,27;;;6,41;;;19,82;;;4,72;;;7,38;;;6,40;;;6,56;;2,21;;15,73;;20,58;;;14,00;;;;132,17;;;11,01;
;Pôr do Sol;;14,60;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;0,00;;0,00;;0,00;;;0,00;;;;14,60;;;1,22;
;Recanto das Emas;;6,79;;;3,95;;;19,67;;;8,75;;;15,67;;;3,83;;;10,87;;;8,88;;3,81;;9,01;;6,51;;;8,88;;;;106,62;;;8,89;
;Samambaia;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,90;;;2,04;;6,22;;6,61;;6,32;;;5,90;;;;27,99;;;2,33;
;Santa Maria 1;;0,00;;;12,67;;;19,22;;;2,79;;;3,64;;;8,25;;;5,33;;;15,20;;14,57;;7,48;;13,03;;;16,70;;;;118,88;;;9,91;
;Santa Maria 2;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;2,98;;;11,42;;;0,00;;0,00;;0,00;;0,00;;;0,00;;;;14,40;;;1,20;
;São Sebastião 1;;0,00;;;0,00;;;9,20;;;6,94;;;13,27;;;1,54;;;4,22;;;1,27;;1,83;;2,77;;1,41;;;2,14;;;;44,59;;;3,72;
;São Sebastião 2;;1,46;;;2,41;;;1,42;;;10,18;;;5,68;;;2,20;;;0,00;;;1,93;;1,60;;0,00;;0,00;;;0,00;;;;26,88;;;2,24;
;Sobradinho I – 1;;6,38;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;2,67;;;8,21;;3,50;;1,34;;7,81;;;18,56;;;;48,47;;;4,04;
;Sobradinho I – 2;;1,22;;;0,00;;;0,00;;;0,00;;;8,70;;;5,01;;;13,61;;;11,67;;3,30;;14,84;;3,58;;;9,36;;;;71,29;;;5,94;
;Sobradinho II;;12,82;;;4,89;;;0,00;;;1,16;;;2,40;;;6,17;;;18,33;;;0,00;;8,52;;5,28;;17,49;;;14,66;;;;91,72;;;7,64;
;Taguatinga;;40,79;;;45,16;;;66,98;;;38,79;;;16,58;;;25,90;;;18,33;;;24,92;;18,87;;32,84;;32,65;;;23,44;;;;385,25;;;32,10;
;TOTAL;;;278,33;;;214,53;;;251,00;;;213,49;;;190,29;;;175,02;;;196,18;;;193,20;;204,87;243,02;;;250,96;;;283,37;;;2.694,26;;;224,52;
