;REGIÃO;;;ENDEREÇO;;;LOCALIZAÇÃO;
Águas Claras;;;Avenida Jacarandá, Lote 24, próximo ao terminal de Furnas.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.84757566,-48.03265395;;
Asa Sul;;;;Núcleo de Limpeza de Brasília, Avenida das Nações (L4 Sul, ao lado da Estação de Tratamento de;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.84177988,-47.91096569;;
;;;;Esgoto Brasília Sul);;;;
Brazlândia;;;Núcleo de Limpeza de Brazlândia – localizado na Área Especial 02 Norte, Lote K, Setor Norte (próximo à 18ª Delegacia de Polícia);;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.67281723,-48.192173;;
;;;Quadra 33, Área Especial nº 3, Vila São José, BR 430, Km 01, Sentido Capão da Onça – Rodeador;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.664977,-48.18775;;
C eilândia;;;;Núcleo de Limpeza de Ceilândia – localizado na QNN 29 Módulos G a K Área Especial, próximo ao;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.81270886,-48.12454605;;
;;;;IESB;;;;
;;;;QNP 28 Área Especial – P Sul s/nº Área da Usina do SLU (depois do Terminal Rodoviário do Setor P;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.84354118,-48.13006723;;
;;;;Sul);;;;
;;;;QNM 27, lote C – Pátio de Serviço da Administração Regional de Ceilândia;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.820517,-48.094682;
Gama;;;Núcleo de Limpeza do Gama – Avenida Contorno localizado na Área Especial, Lote 02, Setor Norte (ao lado do Detran);;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.99883162,-48.06243486;;
;;;Área lindeira dos lotes entre as A.E. 06, QD. 06 e A.E. 12, QD. 12, Setor Sul;;;http://maps.google.com/maps?z=12&t=m&q=loc:-16.02116397,-48.08499481;;
Guará;;;;SRIA IIA QE 25 Área Especial do CAVE (próximo à Feira Permanente);;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.82291228,-47.97350266;
;;;;Avenida Contorno, próximo ao batalhão da Polícia Militar – Lote “A” da Área Especial 10 – SRIA,;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.8444048,-47.96532844;;
;;;;Guará 2;;;;
Paranoá;;;Quadra 05, Conjunto D, Lote 4;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.77920867,-47.78561228;;
Planaltina;;;;Núcleo de Limpeza Urbana de Planaltina – localizado na Área Especial 02, lote 11/12 Setor Norte;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.61110973,-47.65116882;;
;;;;(próximo ao Batalhão da PMDF);;;;
Recanto das Emas;;;Av. Recanto das Emas Qd. 206/300 Centro Urbano – junto à Administração Regional do Recanto das Emas.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.90556716,-48.0760036;;
Samambaia;;;QR 608 de Samambaia Norte na área verde ao Lado do Conjunto 07;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.85593041,-48.08134493;;
Santa Maria;;;;Fazenda Saia Velha, próximo ao conjunto D da quadra QR 219;;;http://maps.google.com/maps?z=12&t=m&q=loc:-16.00654507,-47.98486903;
;;;;Próximo ao LT 01, Conj. “C”, AC 104;;;http://maps.google.com/maps?z=12&t=m&q=loc:-16.03188129,-48.03538039;
São Sebastião;;;Quadra 305, Conjunto 14 AE 02;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.89975474,-47.78879709;;
;;;Bairro Crixá, Rua 33, Lote 10;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.91538419,-47.75888502;;
Sobradinho I;;;;Quadra 10, Área Especial 01;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.640083,-47.796979;
;;;;Área Especial para Indústrias 03, Lote 10;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.6553151,-47.78291509;
Sobradinho II;;;Entre o córrego Braço do Paranoazinho e o Conjunto L da Quadra 4;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.64840908,-47.83044648;;
;Taguatinga;;;Núcleo de Limpeza Urbana de Taguatinga – localizado na QNG 47 Área Especial nº 09;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.79932594,-48.07367325;
