;URE - ATERRAMENTO;;;;;;;;;;;;;;;;;;;;;
Mês;;;;Operação e manutenção da unidade de;;;Custo por;;;Execução dos serviços de britagem;;Custo por;;;Execução dos serviços de;;;Custo por;;Custo Total;;
;;;;recebimento de entulhos;;;tonelada;;;de resíduos da construção civil;;tonelada;;;trituração de galhadas e podas;;;tonelada;;;;
;Janeiro;;R$ 1.908.114,87;;;R$ 16,37;;;R$ 179.722,69;;;R$ 11,11;;R$ 1.428,42;;;R$ 11,41;;;;R$ 2.089.265,98;
;Fevereiro;;R$ 1.667.684,42;;;R$ 16,37;;;R$ 192.542,52;;;R$ 11,11;;R$ 1.402,29;;;R$ 11,41;;;;R$ 1.861.629,23;
;Março;;R$ 2.062.336,30;;;R$ 16,37;;;R$ 278.730,76;;;R$ 11,11;;R$ 1.640,32;;;R$ 11,41;;;;R$ 2.342.707,38;
;Abril;;R$ 1.857.310,89;;;R$ 16,15;;;R$ 281.412,35;;;R$ 15,09;;R$ 1.846,49;;;R$ 10,79;;;;R$ 2.140.569,73;
;Maio;;R$ 2.195.341,53;;;R$ 16,15;;;R$ 388.133,96;;;R$ 15,09;;R$ 2.632,11;;;R$ 10,79;;;;R$ 2.586.107,60;
;Junho;;R$ 2.125.068,68;;;R$ 14,36;;;R$ 446.600,02;;;R$ 15,09;;R$ 2.733,97;;;R$ 10,79;;;;R$ 2.574.402,67;
;Julho;;R$ 1.900.602,58;;;R$ 14,36;;;R$ 387.998,15;;;R$ 15,09;;R$ 2.013,63;;;R$ 10,79;;;;R$ 2.290.614,36;
;Agosto;;R$ 2.039.948,86;;;R$ 14,36;;;R$ 387.609,29;;;R$ 15,09;;R$ 891,04;;;R$ 10,79;;;;R$ 2.428.449,19;
;Setembro;;R$ 1.924.968,97;;;R$ 14,49;;;R$ 372.993,96;;;R$ 15,44;;R$ 1.164,85;;;R$ 11,41;;;;R$ 2.299.127,78;
;Outubro;;R$ 1.855.134,56;;;R$ 14,49;;;R$ 347.508,39;;;R$ 15,44;;R$ 820,95;;;R$ 11,41;;;;R$ 2.203.463,90;
;Novembro;;R$ 1.790.080,25;;;R$ 14,49;;;R$ 337.457,72;;;R$ 15,44;;R$ 1.151,38;;;R$ 11,41;;;;R$ 2.128.689,35;
;Dezembro;;R$ 1.736.901,09;;;R$ 14,49;;;R$ 274.635,14;;;R$ 15,44;;R$ 1.295,95;;;R$ 11,41;;;;R$ 2.012.832,18;
;TOTAL;;;R$ 23.063.493,00;;;-;;;R$ 3.875.344,95;;-;;;R$ 19.021,40;;;-;;;R$ 26.957.859,35;
;Média;;;R$ 1.921.957,75;;;-;;;R$ 322.945,41;;-;;;R$ 1.585,12;;;-;;;R$ 2.246.488,28;
