;UTMB PSUL - UNIDADE DE TRATAMENTO MECÂNICO BIOLÓGICO DA CEILÂNDIA (PSUL);;;;;;;;;;;;;;;;;;;;;;;;;;;
Mês;;;;Operação, Controle E;;Custo por tonelada*;;;Operação De Compostagem;;;Custo por tonelada*;;Transporte De Rejeito E Composto Cru;;;Custo por tonelada*;;;Transporte De Chorume;;;Custo por viagem*;;;Custo Total;;
;;;;Manutenção Com;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Produção De Composto;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Cru;;;;;;;;;;;;;;;;;;;;;;;;
;Janeiro;;R$ 1.129.654,81;;;R$ 57,20;;;R$ 265.491,39;;;R$ 34,75;;R$ 1.139.171,32;;;R$ 44,22;;;R$ 226.980,60;;;R$ 953,70;;;;R$ 2.761.298,12;
;Fevereiro;;R$ 834.669,26;;;R$ 57,20;;;R$ 233.194,74;;;R$ 34,75;;R$ 916.467,46;;;R$ 44,22;;;R$ 200.277,00;;;R$ 953,70;;;;R$ 2.184.608,46;
;Março;;R$ 917.105,14;;;R$ 58,88;;;R$ 257.455,05;;;R$ 34,72;;R$ 942.995,35;;;R$ 44,18;;;R$ 165.854,92;;;R$ 952,82;;;;R$ 2.283.410,46;
;Abril;;R$ 831.206,60;;;R$ 58,88;;;R$ 230.184,92;;;R$ 34,72;;R$ 1.059.466,44;;;R$ 44,18;;;R$ 147.687,10;;;R$ 952,82;;;;R$ 2.268.545,06;
;Maio;;R$ 900.254,52;;;R$ 60,48;;;R$ 260.789,88;;;R$ 36,06;;R$ 1.038.529,68;;;R$ 45,01;;;R$ 24.363,75;;;R$ 974,55;;;;R$ 2.223.937,83;
;Junho;;R$ 811.011,40;;;R$ 60,48;;;R$ 231.098,08;;;R$ 36,06;;R$ 859.274,66;;;R$ 45,01;;;-;;;R$ 974,55;;;;R$ 1.901.384,14;
;Julho;;R$ 759.184,92;;;R$ 62,08;;;R$ 158.748,54;;;R$ 36,03;;R$ 544.719,81;;;R$ 44,97;;;-;;;R$ 973,64;;;;R$ 1.462.653,27;
;Agosto;;R$ 838.698,04;;;R$ 62,08;;;R$ 226.214,75;;;R$ 36,03;;R$ 776.191,82;;;R$ 44,97;;;-;;;R$ 973,64;;;;R$ 1.841.104,61;
;Setembro;;R$ 865.192,28;;;R$ 59,32;;;R$ 245.272,13;;;R$ 35,10;;R$ 890.208,37;;;R$ 44,94;;;-;;;R$ 972,57;;;;R$ 2.000.672,78;
;Outubro;;R$ 882.577,20;;;R$ 59,32;;;R$ 251.645,59;;;R$ 35,10;;R$ 880.826,25;;;R$ 44,94;;;R$ 33.067,38;;;R$ 972,57;;;;R$ 2.048.116,42;
;Novembro;;R$ 1.037.399,43;;;R$ 59,32;;;R$ 268.123,99;;;R$ 35,10;;R$ 712.901,57;;;R$ 44,94;;;R$ 57.381,63;;;R$ 972,57;;;;R$ 2.075.806,62;
;Dezembro;;R$ 989.171,08;;;R$ 59,32;;;R$ 245.403,41;;;R$ 35,10;;R$ 1.018.723,29;;;R$ 44,94;;;R$ 93.366,72;;;R$ 972,57;;;;R$ 2.346.664,50;
;TOTAL;;;R$ 10.796.124,68;;;-;;;R$ 2.873.622,47;;-;;;R$ 10.779.476,02;;;-;;;R$ 948.979,10;;;-;;;R$ 25.398.202,27;
;Média;;;R$ 830.471,13;;;-;;;R$ 221.047,88;;-;;;R$ 829.190,46;;;-;;;R$ 72.998,39;;;-;;;R$ 1.953.707,87;
