CONTRATOS E RESULTADOS DA TRIAGEM POR COOPERATIVA;;;;;
;;;VALOR UNITÁRIO POR;TONELADAS RECUPERADAS;VALOR PAGO PELO
COOPERATIVA;VIGÊNCIA DO CONTRATO;Nº DO CONTRATO;;;
;;;TONELADA TRIADA*;EM 2023;CONTRATO
Acobraz;06/2023 a 06/2024;34/2018;R$327,55;400,05;R$ 118.332,21
Ambiente;01/2024 a 01/2025;07/2024;R$401,46;3.626,20;R$ 1.326.908,42
Apcorc;11/2023 a 11/2024;39/2018;R$313,44;4.868,11;R$ 1.366.152,36
Cataguar;06/2023 a 06/2024;32/2018;R$327,55;2.069,56;R$ 597.945,15
Construir;01/2024 a 01/2025;03/2024;R$401,46;2.346,62;R$ 825.853,33
Coopativa;06/2023 a 06/2024;36/2018;R$401,54;715,46;R$ 252.663,44
Cooperdife;06/2023 a 06/2024;38/2018;R$401,54;1.456,29;R$ 509.771,91
Coopere;01/2024 a 01/2025;10/2024;R$401,46;726,89;R$ 251.110,06
Cooperfé;07/2023 a 07/2024;37/2022;R$367,70;2.114,79;R$ 760.903,60
Cooperlimpo;01/2024 a 01/2025;09/2024;R$327,48;2.400,00;R$ 690.696,00
Coopernoes;01/2024 a 01/2025;05/2024;R$401,46;1.079,96;R$ 381.013,08
Coorace;01/2024 a 01/2025;02/2024;R$401,46;2.722,90;R$ 973.815,91
Cootraempocap – ASAS;05/2023 a 05/2024;11/2021;R$410,61;2.395,37;R$ 915.382,41
Cortrap;01/2024 a 01/2025;06/2024;R$401,46;943,31;R$ 332.025,92
Plasferro;01/2024 a 01/2025;08/2024;R$401,46;2.400,01;R$ 846.722,32
Recicla Brasília;12/2023 a 06/2024;67/2018;R$386,04;1.913,80;R$ 666.658,07
Recicla Mais Brasil;06/2023 a 06/2024;35/2018;R$401,54;696,14;R$ 243.035,63
Recicle a Vida;06/2023 a 06/2024;31/2018;R$401,54;3.568,07;R$ 1.260.543,60
Renascer;06/2023 a 06/2024;33/2018;R$401,54;840,00;R$ 296.385,63
Renove;06/2023 a 06/2024;37/2018;R$327,55;2.435,23;R$ 694.969,14
TOTAL;;;;39.718,74;R$ 13.310.888,18
