;COOPERATIVA;;;Diversos;;;Metal;;;Papel;;;Plástico;;;Vidro;;;Total Geral;
;Acobraz;;;1,1%;;;0,6%;;;0,8%;;;0,8%;;;2,3%;;;1,0%;
;Ambiente;;;18,1%;;;3,4%;;;10,4%;;;8,4%;;;9,1%;;;9,1%;
;Apcorc;;;10,7%;;;15,2%;;;12,2%;;;16,2%;;;0,6%;;;12,3%;
;Cataguar;;;1,1%;;;7,0%;;;3,7%;;;8,4%;;;1,1%;;;5,2%;
;Construir;;;3,1%;;;0,9%;;;4,8%;;;9,8%;;;2,0%;;;5,9%;
;Coopativa;;;0,0%;;;1,1%;;;3,6%;;;0,5%;;;0,1%;;;1,8%;
;Cooperdife;;;6,4%;;;3,7%;;;3,1%;;;3,6%;;;5,5%;;;3,7%;
;Coopere;;;3,9%;;;2,9%;;;2,3%;;;0,9%;;;2,0%;;;1,8%;
;Cooperfé;;;5,2%;;;5,9%;;;7,6%;;;3,4%;;;3,0%;;;5,3%;
;Cooperlimpo;;;0,0%;;;4,4%;;;1,9%;;;2,1%;;;30,9%;;;6,0%;
;Coopernoes;;;6,7%;;;1,6%;;;3,5%;;;1,4%;;;4,1%;;;2,7%;
;Coorace;;;5,0%;;;8,1%;;;6,1%;;;6,4%;;;10,1%;;;6,9%;
;Cootraempocap;;;2,4%;;;24,8%;;;8,2%;;;1,6%;;;1,7%;;;6,0%;
;Cortrap;;;4,7%;;;0,3%;;;3,3%;;;1,1%;;;3,7%;;;2,4%;
;Plasferro;;;7,7%;;;3,9%;;;6,1%;;;7,4%;;;3,3%;;;6,0%;
;Recicla Brasília;;;5,1%;;;3,3%;;;6,8%;;;2,0%;;;6,8%;;;4,8%;
;Recicla Mais Brasil;;;2,5%;;;1,1%;;;2,1%;;;0,8%;;;3,4%;;;1,8%;
;Recicle a Vida;;;7,2%;;;2,4%;;;6,7%;;;15,2%;;;3,3%;;;9,0%;
;Renascer;;;0,0%;;;0,1%;;;3,8%;;;1,1%;;;0,8%;;;2,1%;
;Renove;;;9,1%;;;9,4%;;;3,1%;;;8,9%;;;6,3%;;;6,1%;
;Total Geral;;;100%;;;100%;;;100%;;;100%;;;100%;;;100%;
