;;;;IRR SAAN;;;;;CTR 1 e 2;;;;;SIA - Trecho 17;;;;IRR SCIA ALUGADO;
;Mês;;;Quantidade Mensal Recebida (Ton);;;;;Quantidade Mensal Recebida (Ton);;;;;Quantidade Mensal Recebida (Ton);;;;Quantidade Mensal Recebida (Ton);
;Janeiro;;;169,31;;;;;1.467,80;;;;;407,19;;;;279,51;
;Fevereiro;;;152,00;;;;;1.287,92;;;;;458,44;;;;212,64;
;Março;;;184,01;;;;;1.451,99;;;;;377,75;;;;203,46;
;Abril;;;198,82;;;;;1.229,94;;;;;539,43;;;;171,10;
;Maio;;;145,46;;;;;1.459,92;;;;;577,89;;;;156,23;
;Junho;;;78,83;;;;;1.339,51;;;;;566,56;;;;196,40;
;Julho;;;78,80;;;;;1.438,80;;;;;641,34;;;;194,34;
;Agosto;;;91,70;;;;;1.523,46;;;;;554,31;;;;243,23;
;Setembro;;;82,77;;;;;1.123,72;;;;;384,19;;;;203,45;
;Outubro;;;73,46;;;;;1.332,87;;;;;427,05;;;;211,52;
;Novembro;;;74,31;;;;;1.257,20;;;;;433,19;;;;320,64;
;Dezembro;;;46,09;;;;;1.123,24;;;;;412,73;;;;236,27;
;TOTAL;;;1.375,56;;;;;16.036,37;;;;;5.780,08;;;;2.628,79;
