;;;;IRR BRAZLÂNDIA;;;;;;;IRR PARANOÁ;;;
Mês;;;;Quantidade Mensal;;Quantidade Mensal;;;;;Quantidade Mensal;;Quantidade Mensal de;
;;;;Recebida (Ton);;de Rejeito (Ton);;;;;Recebida (Ton);;Rejeito (Ton);
;Janeiro;;55,93;;;0,47;;;;110,59;;;16,81;
;Fevereiro;;53,41;;;0,76;;;;91,55;;;12,40;
;Março;;71,34;;;1,01;;;;87,81;;;24,45;
;Abril;;53,03;;;0,94;;;;84,86;;;16,09;
;Maio;;49,86;;;1,11;;;;85,00;;;21,02;
;Junho;;42,29;;;0,87;;;;81,72;;;15,91;
;Julho;;;37,72;;0,81;;;;;81,13;;12,39;
;Agosto;;;40,51;;1,15;;;;;84,98;;11,39;
;Setembro;;;29,76;;1,02;;;;;80,90;;15,27;
;Outubro;;;25,74;;1,20;;;;;86,93;;12,93;
;Novembro;;;20,59;;0,57;;;;;92,54;;9,94;
;Dezembro;;;24,68;;0,37;;;;;104,98;;12,65;
;TOTAL;;;504,86;;10,28;;;;;1.072,99;;181,25;
