ENTRADA DE RESÍDUOS NAS UNIDADES GERENCIADAS PELO SLU E GALPÕES PRÓPRIOS DE COOPERATIVAS (EM TONELADAS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IRR/CTR;;o r ie n a J;;;o r ie r e v e F;;;o ç r a M;;;lir b A;;;o ia M;;;o h n u J;;;o h lu J;;;o t s o g A;;;o r b m e t e S;;;o r b u t u O;;;o r b m e v o N;;;o r b m e z e D;;;la r e G la t o T;
CTR 1;915,45;;;829,72;;;918,90;;;835,57;;;930,68;;;851,05;;;1.036,53;;;1.033,56;;;702,66;;;887,82;;;634,53;;;666,00;;;10.242,47;;
SUMA BRASIL;843,65;;;760,87;;;848,62;;;774,10;;;868,25;;;789,44;;;983,77;;;971,66;;;642,74;;;817,08;;;567,44;;;595,69;;;9.463,31;;
VALOR AMBIENTAL LTDA;9,30;;;10,12;;;10,61;;;12,55;;;6,37;;;6,91;;;0,00;;;0,00;;;8,38;;;9,45;;;4,86;;;6,66;;;85,21;;
COOPERNOES;13,13;;;14,73;;;14,09;;;11,79;;;13,99;;;12,70;;;10,76;;;14,45;;;11,53;;;13,82;;;13,64;;;12,40;;;157,03;;
CTELS;16,41;;;13,62;;;15,95;;;12,73;;;14,81;;;14,78;;;13,01;;;14,67;;;13,02;;;14,39;;;15,02;;;14,39;;;172,80;;
FLOR DO CERRADO;20,76;;;18,93;;;18,15;;;13,10;;;16,18;;;16,75;;;17,29;;;21,01;;;17,01;;;19,49;;;21,10;;;23,05;;;222,82;;
VENCENDO OBSTACULOS;12,20;;;11,45;;;11,48;;;11,30;;;11,08;;;10,47;;;11,70;;;11,77;;;9,98;;;13,59;;;12,47;;;13,81;;;141,30;;
CTR 2;552,35;;;458,20;;;533,09;;;394,37;;;529,24;;;488,46;;;402,27;;;489,89;;;421,06;;;445,05;;;622,67;;;457,24;;;5.793,89;;
SUMA BRASIL;6,28;;;0,00;;;0,00;;;0,00;;;24,48;;;15,61;;;0,00;;;20,34;;;4,50;;;88,17;;;116,16;;;103,20;;;378,74;;
VALOR AMBIENTAL LTDA;438,70;;;353,85;;;429,81;;;303,41;;;411,58;;;384,59;;;316,75;;;375,47;;;337,66;;;271,50;;;420,21;;;271,71;;;4.315,24;;
CONSTRUIR;26,91;;;28,80;;;24,39;;;24,35;;;20,93;;;19,87;;;21,25;;;23,39;;;21,14;;;18,86;;;21,03;;;26,54;;;277,46;;
NOVA SUPERAÇÃO;15,32;;;14,80;;;16,03;;;15,56;;;14,06;;;18,20;;;14,36;;;15,37;;;12,94;;;11,94;;;13,48;;;9,48;;;171,54;;
RECICLA BRASILIA;41,82;;;43,53;;;45,73;;;33,96;;;43,75;;;32,19;;;29,01;;;34,00;;;28,77;;;35,43;;;34,38;;;29,32;;;431,89;;
RECICLO;23,32;;;17,22;;;17,13;;;17,09;;;14,44;;;18,00;;;20,90;;;21,32;;;16,05;;;19,15;;;17,41;;;16,99;;;219,02;;
IRR P SUL;530,03;;;390,25;;;453,85;;;416,55;;;456,71;;;383,75;;;341,71;;;475,40;;;532,16;;;494,49;;;579,53;;;490,87;;;5.545,30;;
SUSTENTARE SANEAMENTO;479,66;;;339,52;;;394,00;;;365,15;;;408,23;;;341,07;;;291,83;;;417,99;;;474,16;;;433,55;;;510,04;;;420,42;;;4.875,62;;
