SUSTENTARE SANEAMENTO;31,33;22,75;24,51;25,22;20,82;2,89;19,30;11,39;0,00;0,00;0,00;0,00;158,20
RECICLE A VIDA;95,82;88,96;66,02;61,95;49,38;55,99;65,01;69,20;69,08;80,30;76,60;75,49;853,80
GALPÃO PRÓPRIO PLANALTINA;37,67;29,63;31,52;24,10;27,44;28,94;26,51;34,96;34,80;33,67;28,34;45,41;382,99
PLANALTO;20,56;15,52;16,66;13,93;16,34;15,53;14,73;15,58;15,20;14,60;15,98;15,40;190,03
RECICLA MAIS;17,11;14,11;14,86;10,17;11,10;13,41;11,78;19,38;19,60;19,07;12,36;30,01;192,96
GALPÃO PRÓPRIO SANTA MARIA;58,69;53,35;64,76;54,82;60,44;60,42;61,94;69,74;68,17;66,18;71,37;80,15;770,02
R3;58,69;53,35;64,76;54,82;60,44;60,42;61,94;69,74;68,17;66,18;71,37;80,15;770,02
GALPÃO PRÓPRIO SÃO SEBASTIÃO;27,88;24,25;27,91;25,15;28,00;25,42;27,08;34,22;30,46;27,64;24,66;21,56;324,23
ECOLIMPO;27,88;24,25;27,91;25,15;28,00;25,42;27,08;34,22;30,46;27,64;24,66;21,56;324,23
GALPÃO PRÓPRIO SOBRADINHO;142,93;134,63;159,11;148,63;162,89;151,04;156,92;170,92;130,58;115,84;113,56;160,31;1.747,36
VALOR AMBIENTAL LTDA;70,41;74,58;93,56;94,91;94,76;88,85;90,50;102,95;70,62;48,30;45,58;81,80;956,82
COOPERDIFE;72,52;60,05;65,55;53,72;68,13;62,19;66,42;67,97;59,96;67,54;67,98;78,51;790,54
GALPÃO PRÓPRIO VARJÃO;64,37;49,40;110,51;64,05;61,15;58,61;57,26;62,51;49,53;55,23;55,71;61,50;749,83
CRV;64,37;49,40;110,51;64,05;61,15;58,61;57,26;62,51;49,53;55,23;55,71;61,50;749,83
