;PESSOAL ENVOLVIDO NA LIMPEZA URBANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PESSOAL LIMPEZA URBANA;;;;Operacional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Apoio;;;;;;;;;;;;;L A T O T;;
;;;;;o ã ç ir r a V ir a G;;;;;r o t e lo C;;;;;e t n a d u jA;;;;r o d a z ilib o M / r o t in o M;r o s iv r e p u S /;)a t e lo c / o ã ç ir r a v (;;;ro d a t a C;;;;a n iu q á M e d r o d a r e p O;;;;Motorista;;;;;;;Diversos;;;Engenheiro / Técnico de Segurança do Trabalho;;;Médico do Trabalho /Enfermeiro / Aux. de enfermagem do trabalho;;;Administrativo/ Coordenação;;;Diversos;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a t e lo C;;;s e d a d iv it a s a r t u O;;;;;;;;;;;;;;;;;;;;;;
;VALOR;;1253;;;;;375;;;;;0;;;;;61;;;;;0;;;0;;;;;229;;;;;;;;116;;;3;;;6;;;147;;;0;;;2190;;;;
;AMBIENTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;(LOTE I) Coleta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Convencional e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;limpeza urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SUSTENTARE;;1083;;;;;276;;;;;0;;;;;0;;;;;0;;;0;;;;;170;;;;;;;;120;;;4;;;8;;;67;;;0;;;1728;;;;
;(LOTE II) Coleta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Convencional e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;limpeza urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SUMA (LOTE III);;509;;;;;204;;;;;323;;;;;23;;;;;0;;;18;;;;;100;;;;;;;;80;;;5;;;2;;;40;;;0;;;1304;;;;
;Coleta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Convencional e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;limpeza urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BELFORT;;0;;;;;3;;;;;4;;;;;0;;;;;0;;;1;;;;;0;;;;;;;;0;;;0;;;0;;;1;;;1;;;10;;;;
;Resíduos dos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Serviços de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Saúde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL;;;2845;;;;;858;;;;;327;;;;;84;;;;;0;;;19;;;;;499;;;;;;;;316;;;12;;;16;;;255;;;1;;;5232;;;
