47/2024;3F LTDA;28/11/2024;ORÇAFASCIO, DESCRIÇÃO: CONTRATAÇÃO;;28/11/2025;R$ 9.990,00 (NOVE MIL NOVECENTOS E NOVENTA REAIS).;AGUARDANDO;
;;;DA FERRAMENTA PARA LEVANTAMENTO E;;;;;
;;;COMPARAÇÃO DE PREÇOS DE SERVIÇOS E;;;;;
;;;OBRAS DE ENGENHARIA DENOMINADA;;;;;
;;;ORÇAFASCIO POR UM PERÍODO DE 12;;;;;
;;;MESES, RENOVÁVEIS, ONDE A SOLUÇÃO;;;;;
;;;COMPREENDE A ASSINATURA ANUAL DA;;;;;
;;;PLATAFORMA ORÇAFASCIO COM DIREITO A;;;;;
;;;05 USUÁRIOS;;;;;
45/2024;LIFE CLEAN COMERCIO DE EQUIPAMENTOS LTDA;01/11/2024;O CONTRATO TEM POR OBJETO A;;01/11/2025;R$ 252.578,80;THEO ALBUQUERQUE DE PAULA, GABRIEL MIRANDA SERRÃO;
;;;PRESTAÇÃO DE SERVIÇOS DE;;;;;
;;;FORNECIMENTO E INSTALAÇÃO DE;;;;;
;;;PAPELEIRAS, CONSOANTE ESPECIFICA O;;;;;
;;;EDITAL DE LICITAÇÃO DO PREGÃO;;;;;
;;;ELETRÔNICO Nº 20/2023-SLU/DF, A;;;;;
;;;PROPOSTA DE PREÇOS E A DA ATA DE;;;;;
;;;REGISTRO DE PREÇOS Nº. 01/2024, QUE;;;;;
;;;PASSAM A INTEGRAR O PRESENTE;;;;;
;;;INSTRUMENTO SEM NECESSIDADE DE;;;;;
;;;TRANSCRIÇÃO NA ÍNTEGRA;;;;;
16/2024;SOTKON BRASIL;02/04/2024;FORNECIMENTO E INSTALAÇÃO DE 28 CONTÊINERES SEMIENTERRADOS;;02/04/2025;R$ 1.451.439,00;EDMUNDO PACHECO GADELHA,;
;;;;;;;EVERALDO ANTÔNIO DE ARAÚJO,;
;;;;;;;MURILO DE OLIVEIRA CAIXÊTA,;
;;;;;;;FLAVIO RODRIGUES DE QUEIROZ;
;;;;;;;MACEDO;
18/2024;SOTKON BRASIL;17/05/2024;FORNECIMENTO E INSTALAÇÃO DE CONTEINERS SEMIENTERRADOS;;16/05/2025;R$ 1.236.411,00;EDMUNDO PACHECO GADELHA,;
;;;;;;;EVERALDO ANTÔNIO DE ARAÚJO,;
;;;;;;;MURILO DE OLIVEIRA CAIXÊTA,;
;;;;;;;FLAVIO RODRIGUES DE QUEIROZ;
;;;;;;;MACEDO;
