;;;DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 4 - LAGO NORTE E VARJÃO;;;
10/2022;COOPERATIVA DE TRABALHO DE CATADORES ECOLIMPO;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 3 - SÃO SEBASTIÃO E JARDIM MANGUEIRAL;29/04/2025;R$ 568.805,84 (QUINHENTOS E SESSENTA E OITO MIL OITOCENTOS E CINCO REAIS E OITENTA E QUATRO CENTAVOS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
09/2022;COOPERATIVA DE TRABALHO RECICLA MAIS BRASIL;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU;29/04/2025;R$ 684.044,16 (SEISCENTOS E OITENTA E QUATRO MIL QUARENTA E QUATRO REAIS E DEZESSEIS CENTAVOS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
08/2022;COOPERATIVA, DE RECICLAGEM AMBIENTAL- COOPERDIFE;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU;29/04/2025;R$ 656.403,12 (SEISCENTOS E CINQUENTA E SEIS MIL QUATROCENTOS E TRÊS REAIS E DOZE CENTAVOS);FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NILSON DOS SANTOS CALDEIRA, LEONIDES LAINE BAIÃO PIRES, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA, NELSON GONÇALVES PIRES FILHO
02/2024;COORACE;16/01/2024;TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO;15/01/2025;R$ 1.907.737,92;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
03//2024;CONSTRUIR;16/01/2024;TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO;15/01/2025;R$ 963.504,00;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
04/2024;VALOR AMBIENTAL LTDA;08/02/2024;RQQ NO ATERRO SANITÁRIO DE BRASÍLIA (ASB);07/02/2025;R$ 3.212.500,96;EDMUNDO PACHECO GADELHA, ANA SOFIA CAVALCANTI JUCÁ, FERNANDO EDSON OLIVEIRA PEREIRA
05/2024;COOPERATIVA COOPERNOES;16/01/2024;TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO;15/01/2025;R$ 433.576,80;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
06/2024;COOPERATIVA CORTRAP;16/01/2024;TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO;15/01/2025;R$ 409.489,20;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
07/2024;ASSOCIAÇÃO AMBIENTE;16/01/2024;TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO;15/01/2025;R$ 2.408.760,00;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
09/2024;COOPERATIVA COOPERLIMPO;22/01/2024;TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO;21/01/2025;R$ 785.952,00;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
