;CONTRATAÇÃO;;;STATUS;
Planejamento do novo contrato da limpeza urbana;;;Licitação suspensa;;
Elaboração de projetos para reforma e regularização de condicionantes ambientais da Usina da Asa Sul.;;;Andamento;;
Estudo juntamente à SEPE para PMI do ASB.;;;Andamento;;
Contratação de pessoa jurídica para a prestação de serviços de transporte, para destinação final, de resíduos da construção civil, de podas e de volumosos entregues nos Pontos de Entrega Voluntária de Pequenos Volumes - PEVs pela população, situados nas Regiões Administrativas do Distrito Federal e para a remoção de animais mortos, bem como para a prestação dos serviços relativos à gestão de todos os Pontos de Entrega Voluntária de Pequenos Volumes – PEVs.;;;Concluído;;
Contratação de empresa para prestação de serviços de engenharia civil e arquitetura na elaboração de projetos arquitetônicos, estruturais, complementares e levantamentos topográficos, bem como assessoria para a Diretoria Técnica desta Autarquia;;;Andamento;;
Contratação de empresa especializada para a execução da reforma do Transbordo de Sobradinho e Gama a implantação das unidades de Transbordo de Resíduos nas regiões de Brazlândia.;;;Análise de propostas;;
Contratação de empresa especializada para a implantação das unidades de Transbordo de Resíduos nas regiões de Brazlândia.;;;Análise de propostas;;
Contratação de empresa especializada na prestação dos serviços para elaboração de projeto para a implantação da expansão do Aterro Sanitário de Brasília, contemplando aproveitamento energético dos gases gerados no maciço do ASB, bem como estudos ambientais detalhados.;;;Edital publicado;;
Contratação de empresa especializada para o serviço de reforma nos Papa-entulhos antigos;;;Edital em elaboração;;
Contratação de empresa especializada para prestação de serviço de operação e manutenção da atual Unidade de Recebimento de Entulhos.;;;Licitação suspensa;;
Contratação de empresa para prestação dos serviços de operação e manutenção da atual Unidade de Recebimento de Entulhos - URE, situada na Região Administrativa da Estrutural.;;;Licitação concluída;;
