;Unidade;;;JAN;;;FEV;;MAR;;ABR;;MAI;JUN;JUL;AGO;;SET;;OUT;;;NOV;;;DEZ;Total;;;Média;
;Águas Claras;;21,08;;;21,19;;16,86;;;14,45;;6,53;11,64;6,84;16,11;6,95;;20,77;;;24,15;;;6,36;;172,93;;;14,41;
;Asa sul;;10,92;;;31,03;;6,18;;;26,22;;12,00;7,97;10,44;11,21;21,57;;9,78;;;33,61;;;20,04;;200,97;;;16,75;
;Brazlândia 1;;0,00;;;0,00;;1,91;;;1,28;;0,00;0,00;1,83;0,00;1,78;;0,00;;;0,00;;;0,00;;6,80;;;0,57;
;Brazlândia 2;;0,00;;;0,00;;3,74;;;1,19;;0,00;0,00;0,00;0,00;0,00;;4,89;;;0,00;;;0,00;;9,82;;;0,82;
;Ceilândia 1;;10,01;;;5,18;;14,90;;;9,09;;13,41;5,96;8,33;3,90;3,19;;13,44;;;6,35;;;11,15;;104,91;;;8,74;
;Ceilândia 2;;18,65;;;58,61;;41,44;;;23,48;;19,56;46,71;34,53;32,91;6,11;;49,62;;;2,98;;;25,45;;360,05;;;30,00;
;Gama 1;;51,14;;;54,77;;26,54;;;19,94;;26,22;25,18;35,52;24,42;21,73;;40,22;;;29,63;;;37,98;;393,29;;;32,77;
;Gama 2;;0,00;;;5,75;;58,37;;;15,97;;24,25;24,45;24,43;9,69;25,64;;17,45;;;19,62;;;15,40;;241,02;;;20,09;
;Guará 1;;36,21;;;38,44;;33,07;;;33,44;;31,83;23,72;32,42;19,11;22,34;;18,36;;;44,97;;;34,32;;368,23;;;30,69;
;Guará 2;;15,78;;;19,65;;23,65;;;16,21;;20,98;13,44;9,55;20,41;12,90;;21,04;;;26,80;;;20,02;;220,43;;;18,37;
;Paranoá;;17,33;;;20,43;;19,82;;;42,86;;33,19;19,35;15,67;18,37;16,08;;6,60;;;35,82;;;60,15;;305,67;;;25,47;
;Planaltina;;15,27;;;16,50;;21,27;;;15,02;;7,11;4,00;3,25;7,68;2,88;;6,05;;;0,00;;;0,00;;99,03;;;8,25;
;Pôr do Sol;;0,00;;;0,00;;1,89;;;1,60;;3,46;0,00;1,00;2,08;0,00;;0,86;;;6,43;;;6,32;;23,64;;;1,97;
;Recanto das Emas;;6,12;;;5,36;;13,11;;;5,04;;1,41;2,02;0,00;3,98;0,00;;5,00;;;2,15;;;9,59;;53,78;;;4,48;
;Samambaia;;6,51;;;14,76;;9,94;;;6,35;;11,97;8,58;7,92;15,89;3,16;;14,61;;;17,27;;;29,27;;146,23;;;12,19;
;Santa Maria 1;;2,84;;;0,00;;5,34;;;1,86;;6,21;1,02;0,80;1,08;0,81;;0,00;;;5,18;;;7,48;;32,62;;;2,72;
;Santa Maria 2;;0,00;;;0,00;;3,43;;;0,00;;1,80;1,05;0,78;0,00;0,95;;0,00;;;0,00;;;0,00;;8,01;;;0,67;
;São Sebastião 1;;4,95;;;8,36;;9,03;;;3,17;;3,76;4,17;3,95;2,28;6,18;;8,01;;;10,58;;;36,66;;101,10;;;8,43;
;São Sebastião 2;;2,25;;;3,24;;2,58;;;9,38;;3,48;3,52;4,03;6,19;6,83;;8,63;;;3,98;;;17,08;;71,19;;;5,93;
;Sobradinho I - 1;;15,45;;;10,78;;24,61;;;16,75;;14,10;9,29;13,58;13,60;3,95;;12,29;;;17,31;;;28,76;;180,47;;;15,04;
;Sobradinho I - 2;;16,23;;;21,41;;20,07;;;14,81;;2,33;1,24;5,70;8,82;1,19;;7,03;;;0,76;;;31,61;;131,20;;;10,93;
;Sobradinho II;;12,81;;;10,89;;10,93;;;21,20;;13,28;8,23;18,18;5,85;4,29;;5,32;;;7,32;;;34,22;;152,52;;;12,71;
;Taguatinga;;49,60;;;66,43;;81,49;;;70,08;;67,88;47,89;34,06;64,85;49,00;;48,92;;;34,50;;;64,69;;679,39;;;56,62;
;TOTAL;;;313,15;;;412,78;;450,17;;369,39;;324,76;269,43;272,81;288,43;;217,53;;318,89;;;329,41;;;496,55;4.063,30;;;338,61;
