;Asa sul;;10,79;;;17,08;;;24,69;;;13,23;;;13,67;;;7,74;;;15,43;;;7,86;;;11,17;;;10,96;;;14,31;;;8,81;;;;155,74;;;12,98;
;Brazlândia 1;;0,00;;;4,06;;;8,50;;;0,00;;;0,00;;;1,70;;;0,00;;;0,00;;;1,31;;;1,56;;;0,00;;;0,90;;;;18,03;;;1,50;
;Brazlândia 2;;0,00;;;0,00;;;2,41;;;0,00;;;0,00;;;0,00;;;0,00;;;2,23;;;0,00;;;1,54;;;0,00;;;0,00;;;;6,18;;;0,52;
;Ceilândia 1;;34,19;;;42,23;;;39,76;;;34,60;;;35,72;;;23,72;;;33,66;;;15,01;;;21,76;;;43,79;;;14,73;;;15,43;;;;354,60;;;29,55;
;Ceilândia 2;;45,02;;;46,45;;;33,03;;;35,92;;;28,86;;;24,40;;;21,34;;;23,33;;;7,86;;;86,57;;;15,52;;;38,13;;;;406,43;;;33,87;
;Gama 1;;42,77;;;30,39;;;1,52;;;19,63;;;20,29;;;15,19;;;14,31;;;15,08;;;15,64;;;17,22;;;16,26;;;21,43;;;;229,73;;;19,14;
;Gama 2;;0,00;;;6,65;;;18,71;;;15,01;;;12,35;;;7,68;;;10,99;;;7,80;;;6,40;;;13,97;;;10,59;;;5,36;;;;115,51;;;9,63;
;Guará 1;;27,05;;;23,45;;;25,70;;;30,53;;;17,85;;;17,49;;;9,76;;;13,55;;;11,99;;;17,10;;;26,20;;;15,09;;;;235,76;;;19,65;
;Guará 2;;19,85;;;26,06;;;26,63;;;16,35;;;14,98;;;14,57;;;14,47;;;12,15;;;8,80;;;10,63;;;20,14;;;7,45;;;;192,08;;;16,01;
;Paranoá;;8,26;;;16,06;;;8,48;;;9,32;;;6,97;;;10,30;;;4,63;;;4,53;;;1,91;;;3,13;;;1,80;;;19,72;;;;95,11;;;7,93;
;Planaltina;;16,21;;;15,56;;;11,04;;;23,06;;;7,85;;;9,08;;;6,38;;;6,83;;;7,88;;;4,75;;;0,00;;;0,00;;;;108,64;;;9,05;
;Pôr do Sol;;0,00;;;0,00;;;9,67;;;18,58;;;6,56;;;9,37;;;17,27;;;9,42;;;9,18;;;15,47;;;15,93;;;13,91;;;;125,36;;;10,45;
;Recanto das Emas;;11,84;;;9,68;;;5,74;;;6,79;;;8,46;;;8,79;;;3,64;;;4,68;;;0,00;;;6,66;;;9,69;;;9,39;;;;85,36;;;7,11;
;Samambaia;;11,88;;;8,11;;;22,04;;;10,88;;;13,52;;;17,09;;;8,05;;;13,38;;;11,38;;;9,75;;;17,95;;;21,36;;;;165,39;;;13,78;
;Santa Maria 1;;26,38;;;17,82;;;9,26;;;13,89;;;11,75;;;9,19;;;8,54;;;5,48;;;7,08;;;6,32;;;9,62;;;1,47;;;;126,80;;;10,57;
;Santa Maria 2;;0,00;;;0,00;;;5,81;;;3,07;;;4,25;;;4,94;;;1,96;;;1,19;;;5,02;;;3,75;;;5,99;;;0,93;;;;36,91;;;3,08;
;São Sebastião 1;;3,31;;;7,05;;;4,43;;;1,47;;;2,33;;;4,13;;;2,22;;;3,88;;;4,74;;;3,12;;;3,26;;;15,73;;;;55,67;;;4,64;
;São Sebastião 2;;2,16;;;0,00;;;8,96;;;4,75;;;8,47;;;8,02;;;3,55;;;6,69;;;2,53;;;5,52;;;10,58;;;10,99;;;;72,22;;;6,02;
;Sobradinho I – 1;;8,75;;;6,18;;;16,54;;;14,57;;;17,27;;;9,90;;;11,25;;;13,19;;;4,57;;;8,31;;;19,68;;;12,26;;;;142,47;;;11,87;
;Sobradinho I – 2;;12,83;;;7,41;;;11,92;;;6,63;;;8,98;;;5,67;;;4,50;;;3,78;;;2,78;;;0,00;;;3,16;;;15,35;;;;83,01;;;6,92;
;Sobradinho II;;12,95;;;13,33;;;19,35;;;13,20;;;13,55;;;6,15;;;5,94;;;4,26;;;4,77;;;6,86;;;7,66;;;20,23;;;;128,25;;;10,69;
Taguatinga;;;29,48;;;29,85;;;38,40;;;29,43;;;40,17;;;33,83;;;31,13;;;27,82;;;21,14;;;36,96;;;36,57;;;28,20;;;382,98;;;31,92;;
;TOTAL;;;342,72;;;348,83;;;374,36;;;336,88;;;308,89;;;262,44;;;241,98;;;216,04;;;182,78;;;325,28;;;276,12;;;292,05;;;3.508,37;;;292,36;
