REGIÃO;ENDEREÇO;;;LOCALIZAÇÃO
Águas Claras;Avenida Jacarandá, Lote 24, próximo ao terminal de Furnas.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.84757566,-48.03265395
Asa Sul;;Núcleo de Limpeza de Brasília, Avenida das Nações (L4 Sul, ao lado da Estação de Tratamento de;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.84177988,-47.91096569
;;Esgoto Brasília Sul);;
Brazlândia;Núcleo de Limpeza de Brazlândia – localizado na Área Especial 02 Norte, Lote K, Setor Norte (próximo à 18ª Delegacia de Polícia);;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.67281723,-48.192173
;Quadra 33, Área Especial nº 3, Vila São José, BR 430, Km 01, Sentido Capão da Onça – Rodeador;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.664977,-48.18775
C eilândia;I;Núcleo de Limpeza de Ceilândia – localizado na QNN 29 Módulos G a K Área Especial, próximo ao;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.81270886,-48.12454605
;;ESB;;
;;QNP 28 Área Especial – P Sul s/nº Área da Usina do SLU (depois do Terminal Rodoviário do Setor P;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.84354118,-48.13006723
;;Sul);;
;QNM 27, lote C – Pátio de Serviço da Administração Regional de Ceilândia;QNM 27, lote C – Pátio de Serviço da Administração Regional de Ceilândia;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.820517,-48.094682
Gama;Núcleo de Limpeza do Gama – Avenida Contorno localizado na Área Especial, Lote 02, Setor Norte (ao lado do Detran);;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.99883162,-48.06243486
;Área lindeira dos lotes entre as A.E. 06, QD. 06 e A.E. 12, QD. 12, Setor Sul;;;http://maps.google.com/maps?z=12&t=m&q=loc:-16.02116397,-48.08499481
