;URE;;;;;;;;;;;;;;;;;;;;
Mês;;;Operação e manutenção da unidade de recebimento de entulhos;;;Custo por tonelada;;;Execução dos serviços de britagem de resíduos da construção civil;;;Custo por tonelada;;;Execução dos serviços de trituração de galhadas e podas;;Custo por tonelada;;;Custo Total;
;Janeiro;;R$ 1.790.052,72;;;R$ 14,49;;;R$ 213.370,46;;;R$ 15,44;;;R$ 1.092,85;;R$ 11,41;;;R$ 2.004.516,03;
;Fevereiro;;R$ 1.774.958,35;;;R$ 14,49;;;R$ 225.843,00;;;R$ 15,44;;;R$ 1.298,34;;R$ 11,41;;;R$ 2.002.099,69;
;Março;;R$ 2.100.289,88;;;R$ 14,55;;;R$ 307.666,86;;;R$ 15,44;;;R$ 975,67;;R$ 11,41;;;R$ 2.408.932,41;
;Abril;;R$ 2.023.354,43;;;R$ 14,55;;;R$ 324.674,17;;;R$ 15,44;;;R$ 1.113,27;;R$ 11,41;;;R$ 2.349.141,87;
;Maio;;R$ 1.901.994,62;;;R$ 14,55;;;R$ 376.350,46;;;R$ 15,44;;;R$ 1.104,15;;R$ 11,41;;;R$ 2.279.449,23;
;Junho;;R$ 1.942.654,31;;;R$ 14,55;;;R$ 371.189,33;;;R$ 15,44;;;R$ 931,51;;R$ 11,41;;;R$ 2.314.775,15;
;Julho;;R$ 2.374.343,93;;;R$ 15,10;;;R$ 399.678,98;;;R$ 15,20;;;R$ 812,92;;R$ 11,79;;;R$ 2.774.835,83;
;Agosto;;R$ 2.165.071,98;;;R$ 15,10;;;R$ 304.607,24;;;R$ 15,20;;;R$ 945,32;;R$ 11,79;;;R$ 2.470.624,54;
;Setembro (1° A 4);;R$ 252.092,54;;;R$ 15,10;;;R$ 38.287,89;;;R$ 15,20;;;R$ 85,95;;R$ 11,79;;;R$ 290.466,38;
;TOTAL;;;R$ 16.324.812,76;;;-;;;R$ 2.561.668,39;;;-;;R$ 8.359,98;;;-;;R$ 18.894.841,13;
;Média;;;R$ 1.813.868,08;;;-;;;R$ 284.629,82;;;-;;R$ 928,89;;;-;;R$ 2.099.426,79;
