;AÇÕES CONJUNTAS DE MOBILIZAÇÃO SOCIAL EM 2024;;;;
;Data;;;Ação;
06/02/2024;06/02/2024;;Primeira rodada de capacitação do ano de 2024 com os mobilizadores das cooperativas contratadas para execução do serviço da coleta seletiva inclusiva.;;
;20/02/2024;;Mobilização em Ação na Vila Metropolitana localizada no Núcleo Bandeirante.;;
;17/04/2024;;Mobilização em Ação em Samambaia.;;
24/04/2024;24/04/2024;;Segunda rodada de capacitação do ano de 2024 com os mobilizadores das cooperativas contratadas para execução do serviço da coleta seletiva inclusiva.;;
;22/05/2024;;Mobilização em Ação em Arniqueira.;;
19/06/2024;19/06/2024;;Terceira rodada de capacitação do ano de 2024 com os mobilizadores das cooperativas contratadas para execução do serviço da coleta seletiva inclusiva.;;
20/06/2024;;;Visita técnica com a equipe de mobilização no Aterro Sanitário de Brasília e na Usina de Tratamento Mecânico e Biológico do Psul no intuito de motivar ainda mais os mobilizadores no trabalho de mobilização social.;;
;19/09/2024;;Mobilização em ação no Riacho Fundo I.;;
11/10/2024;11/10/2024;;Quarta Rodada de de capacitação do ano de 2024 com os mobilizadores das cooperativas contratadas para execução do serviço da coleta seletiva inclusiva e visita ao Museu da Limpeza Urbana do SLU/DF.;;
;27/11/2024;;Mobilização em ação em Santa Maria.;;
