CONTRATOS E RESULTADOS DA TRIAGEM POR COOPERATIVA;;;;;
ASSOCIAÇÃO/;VIGÊNCIA DO CONTRATO;Nº DO CONTRATO;VALOR UNITÁRIO POR;TONELADAS;VALOR PAGO PELO
COOPERATIVA;;;TONELADA TRIADA*;RECUPERADAS EM 2024;CONTRATO
Acobraz;04/06/2024;34/2018;R$ 327,55;450,14;R$ 141.981,36
Ambiente;16/01/2025;08/2018;R$ 401,46;4.852,97;R$ 1.918.276,24
Apcorc;08/11/2024;39/2018;R$ 313,44;4.774,35;R$ 1.471.231,67
Cataguar;04/06/2024;32/2018;R$ 327,55;2.311,81;R$ 776.923,41
Construir;16/01/2025;12/2018;R$ 401,46;2.311,08;R$ 883.625,53
Coopativa;04/06/2024;36/2018;R$ 401,54;718,00;R$ 264.213,32
Cooperdife;04/06/2024;38/2018;R$ 401,54;1.553,52;R$ 623.772,30
Coopere;16/01/2025;11/2018;R$ 401,46;729,88;R$ 272.376,53
Cooperfé;28/07/2024;37/2022;R$ 353,58;2.348,01;R$ 863.886,22
Cooperlimpo;31/01/2025;09/2018;R$ 327,48;2.400,00;R$ 785.952,00
Coopernoes;16/01/2025;07/2018;R$ 401,46;1.080,00;R$ 433.576,80
Coorace;16/01/2025;03/2018;R$ 401,46;3.005,82;R$ 1.206.567,90
Cootraempocap - ASAS;28/05/2024;11/2021;R$ 410,61;2.367,83;R$ 967.498,77
Cortrap;16/01/2025;10/2018;R$ 401,46;849,37;R$ 348.815,22
Plasferro;16/01/2025;06/2018;R$ 401,46;2.420,00;R$ 891.241,20
Recicla Brasília;28/06/2024;67/2018;R$ 386,04;1.772,36;R$ 633.701,73
Recicla Mais Brasil;01/06/2024;35/2018;R$ 401,54;597,40;R$ 239.878,50
Recicle a Vida;04/06/2024;31/2018;R$ 401,54;3.303,11;R$ 1.321.667,94
Renascer;04/06/2024;33/2018;R$ 401,54;840,00;R$ 308.388,86
Renove;04/06/2024;37/2018;R$ 327,55;2.543,77;R$ 832.232,89
TOTAL;;;;41.229,41;R$ 15.185.808,39
