REPRESENTATIVIDADE DE MATERIAL COMERCIALIZADO POR COOPERATIVA (%Ton);;;;;;
%;Família;;;;;
COOPERATIVA;Diversos;Metal;Papel;Plástico;Vidro;Total Geral
Acobraz;1,0%;1,6%;0,9%;0,7%;3,0%;1,1%
Ambiente;19,3%;7,9%;10,5%;14,6%;8,7%;11,8%
Apcorc;5,5%;13,9%;13,6%;12,3%;0,7%;11,6%
Cataguar;1,6%;12,1%;4,3%;7,3%;0,9%;5,6%
Construir;4,9%;0,1%;3,9%;9,5%;2,3%;5,6%
Coopativa;0,0%;0,0%;3,8%;0,3%;0,4%;1,7%
Cooperdife;6,2%;4,2%;3,4%;3,4%;5,9%;3,8%
Coopere;5,6%;2,2%;2,3%;1,1%;1,6%;1,8%
Cooperfé;6,2%;5,6%;8,4%;3,5%;3,4%;5,7%
Cooperlimpo;0,0%;3,9%;1,6%;1,8%;36,9%;5,8%
Coopernoes;4,1%;2,2%;3,5%;2,0%;1,7%;2,6%
Coorace;4,0%;3,3%;3,1%;12,3%;8,2%;7,3%
Cootraempocap;1,9%;20,6%;8,2%;1,8%;1,2%;5,7%
Cortrap;4,8%;0,0%;2,9%;0,8%;4,2%;2,1%
Plasferro;8,0%;4,9%;5,3%;7,2%;4,0%;5,9%
Recicla Brasilia;6,1%;1,5%;7,2%;1,4%;5,0%;4,3%
Recicla Mais Brasil;2,2%;0,9%;2,0%;0,6%;2,8%;1,4%
Recicle a vida;8,4%;2,9%;7,7%;11,1%;1,9%;8,0%
Renascer;0,0%;0,1%;3,8%;0,8%;1,1%;2,0%
Renove;10,2%;12,1%;3,7%;7,7%;6,0%;6,2%
Total Geral;100%;100%;100%;100%;100%;100%
