;;;;IRR SAAN;;;;;CTR 1 e 2;;;;;IRR SCIA ALUGADO;;;;;SIA - Trecho 17;
;Mês;;;Quantidade Mensal Recebida (Ton);;;;;Quantidade Mensal Recebida (Ton);;;;;Quantidade Mensal Recebida (Ton);;;;;Quantidade Mensal Recebida (Ton);
;Janeiro;;;74,01;;;;;1.245,66;;;;;367,85;;;;;530,63;
;Fevereiro;;;70,99;;;;;1.267,92;;;;;310,38;;;;;436,98;
;Março;;;43,14;;;;;1.123,74;;;;;296,11;;;;;430,92;
;Abril;;;61,83;;;;;1.323,65;;;;;298,14;;;;;402,50;
;Maio;;;47,97;;;;;1.214,86;;;;;283,42;;;;;355,83;
;Junho;;;60,35;;;;;1.201,58;;;;;287,52;;;;;420,30;
;Julho;;;38,21;;;;;1.280,89;;;;;323,43;;;;;509,05;
;Agosto;;;46,85;;;;;1.166,14;;;;;310,74;;;;;512,74;
;Setembro;;;41,47;;;;;1.218,84;;;;;273,73;;;;;383,79;
;Outubro;;;43,99;;;;;1.299,69;;;;;278,34;;;;;450,82;
;Novembro;;;41,08;;;;;1.239,25;;;;;272,71;;;;;406,20;
;Dezembro;;;49,54;;;;;1.337,54;;;;;209,97;;;;;382,63;
;TOTAL;;;620,55;;;;;14.927,43;;;;;3.512,34;;;;;5.222,39;
