;;;;IRR BRAZLÂNDIA;;;;;IRR PARANOÁ;;;;;GALPÃO SOBRADINHO;
Mês;;;;Quantidade Mensal;;;;;Quantidade Mensal;;;;;Quantidade Mensal;
;;;;Recebida (Ton);;;;;Recebida (Ton);;;;;Recebida (Ton);
;Janeiro;;25,78;;;;;109,37;;;;;155,56;;
;Fevereiro;;28,75;;;;;108,10;;;;;143,71;;
;Março;;30,36;;;;;106,77;;;;;159,33;;
;Abril;;34,77;;;;;130,34;;;;;168,21;;
;Maio;;25,62;;;;;118,10;;;;;168,94;;
;Junho;;25,78;;;;;119,04;;;;;186,86;;
;Julho;;;23,89;;;;;135,26;;;;;256,29;
;Agosto;;;22,63;;;;;143,31;;;;;242,61;
;Setembro;;;23,87;;;;;127,93;;;;;265,55;
;Outubro;;;30,04;;;;;136,69;;;;;312,49;
;Novembro;;;39,86;;;;;146,94;;;;;296,94;
;Dezembro;;;41,29;;;;;158,91;;;;;370,29;
;TOTAL;;;352,64;;;;;1.540,76;;;;;2.725,37;
