ENTRADA DE RESÍDUOS NAS UNIDADES GERENCIADAS PELO SLU E GALPÕES PRÓPRIOS DE COOPERATIVAS (EM TONELADAS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IRR/CTR;;;;o r ie n a J;;;;o r ie r e v e F;;;;o ç r a M;;;;;lir b A;;;;;o ia M;;;;;o h n u J;;;;;o h lu J;;;;;o t s o g A;;;;;o r b m e t e S;;;;;o r b u t u O;;;;;o r b m e v o N;;;;;o r b m e z e D;;;;;la r e G la t o T;;
;CTR 1;;745,12;;;;739,13;;;;646,95;;;;;707,24;;;;;697,58;;;;;662,37;;;;;628,81;;;;;692,21;;;;;751,86;;;;;773,86;;;;;769,83;;;;;795,00;;;;;8.609,96;;;
;SUMA BRASIL;;668,41;;;;619,48;;;;548,45;;;;;631,13;;;;;621,89;;;;;554,15;;;;;502,34;;;;;554,57;;;;;609,64;;;;;624,72;;;;;639,87;;;;;693,83;;;;;7.268,48;;;
;VALOR AMBIENTAL LTDA;;10,73;;;;61,24;;;;42,16;;;;;14,14;;;;;16,52;;;;;52,61;;;;;57,28;;;;;59,70;;;;;70,99;;;;;74,56;;;;;64,83;;;;;31,44;;;;;556,20;;;
;COOPERNOES;;12,81;;;;9,78;;;;8,61;;;;;11,81;;;;;12,07;;;;;12,21;;;;;16,45;;;;;22,68;;;;;21,99;;;;;20,68;;;;;15,44;;;;;15,59;;;;;180,12;;;
;CTELS;;16,08;;;;15,42;;;;13,55;;;;;13,39;;;;;16,04;;;;;15,43;;;;;17,21;;;;;16,15;;;;;16,78;;;;;19,49;;;;;18,23;;;;;16,99;;;;;194,76;;;
;FLOR DO CERRADO;;23,66;;;;23,33;;;;23,22;;;;;24,73;;;;;21,00;;;;;17,89;;;;;24,56;;;;;27,08;;;;;20,24;;;;;21,96;;;;;19,46;;;;;22,98;;;;;270,11;;;
;VENCENDO OBSTACULOS;;13,43;;;;9,88;;;;10,96;;;;;12,04;;;;;10,06;;;;;10,08;;;;;10,97;;;;;12,03;;;;;12,22;;;;;12,45;;;;;12,00;;;;;14,17;;;;;140,29;;;
;CTR 2;;500,54;;;;534,84;;;;478,42;;;;;616,41;;;;;517,28;;;;;539,21;;;;;652,08;;;;;473,93;;;;;466,98;;;;;525,83;;;;;469,42;;;;;542,54;;;;;6.317,47;;;
;SUMA BRASIL;;127,29;;;;72,78;;;;62,19;;;;;112,02;;;;;126,04;;;;;129,40;;;;;153,80;;;;;65,07;;;;;123,50;;;;;152,64;;;;;89,39;;;;;189,18;;;;;1.403,30;;;
;VALOR AMBIENTAL LTDA;;279,26;;;;373,50;;;;331,76;;;;;422,11;;;;;310,90;;;;;328,35;;;;;391,42;;;;;312,33;;;;;248,49;;;;;276,72;;;;;302,31;;;;;267,79;;;;;3.844,94;;;
;CONSTRUIR;;25,15;;;;26,61;;;;21,52;;;;;20,04;;;;;24,91;;;;;23,01;;;;;29,48;;;;;26,87;;;;;23,29;;;;;19,74;;;;;12,87;;;;;11,86;;;;;265,35;;;
;NOVA SUPERACAO;;11,18;;;;11,12;;;;11,00;;;;;13,90;;;;;12,85;;;;;11,17;;;;;13,03;;;;;14,81;;;;;12,89;;;;;13,43;;;;;11,11;;;;;13,01;;;;;149,50;;;
;RECICLA BRASILIA;;37,59;;;;32,46;;;;39,78;;;;;33,67;;;;;30,08;;;;;38,18;;;;;50,63;;;;;44,47;;;;;45,42;;;;;51,57;;;;;42,41;;;;;40,91;;;;;487,16;;;
;RECICLO;;20,07;;;;18,37;;;;12,17;;;;;14,67;;;;;12,50;;;;;9,10;;;;;13,72;;;;;10,38;;;;;12,12;;;;;11,73;;;;;11,33;;;;;19,79;;;;;165,95;;;
;DL SUL;;960,24;;;;632,11;;;;706,58;;;;;704,07;;;;;924,87;;;;;720,64;;;;;747,74;;;;;739,11;;;;;741,34;;;;;975,19;;;;;837,95;;;;;1.224,28;;;;;9.914,12;;;
;SUMA BRASIL;;82,94;;;;0,00;;;;28,27;;;;;8,21;;;;;0,00;;;;;29,95;;;;;21,56;;;;;9,28;;;;;13,19;;;;;88,08;;;;;183,03;;;;;251,85;;;;;716,36;;;
;VALOR AMBIENTAL LTDA;;877,30;;;;632,11;;;;678,31;;;;;695,86;;;;;924,87;;;;;690,69;;;;;726,18;;;;;729,83;;;;;728,15;;;;;887,11;;;;;654,92;;;;;972,43;;;;;9.197,76;;;
;GALPÃO PRÓPRIO CEILÂNDIA;;77,13;;;;72,45;;;;65,24;;;;;62,08;;;;;56,93;;;;;65,18;;;;;71,77;;;;;60,64;;;;;59,68;;;;;32,46;;;;;65,89;;;;;65,68;;;;;755,13;;;
;SUSTENTARE SANEAMENTO;;0,00;;;;0,00;;;;1,03;;;;;0,00;;;;;0,00;;;;;0,00;;;;;0,00;;;;;0,00;;;;;0,00;;;;;0,00;;;;;0,00;;;;;0,00;;;;;1,03;;;
;RECICLE A VIDA;;77,13;;;;72,45;;;;64,21;;;;;62,08;;;;;56,93;;;;;65,18;;;;;71,77;;;;;60,64;;;;;59,68;;;;;32,46;;;;;65,89;;;;;65,68;;;;;754,10;;;
;GALPÃO PRÓPRIO SANTA MARIA;;80,90;;;;70,54;;;;74,63;;;;;68,09;;;;;83,27;;;;;78,46;;;;;90,69;;;;;85,56;;;;;93,26;;;;;104,59;;;;;98,85;;;;;93,34;;;;;1.022,18;;;
;R3;;80,90;;;;70,54;;;;74,63;;;;;68,09;;;;;83,27;;;;;78,46;;;;;90,69;;;;;85,56;;;;;93,26;;;;;104,59;;;;;98,85;;;;;93,34;;;;;1.022,18;;;
;GALPÃO PRÓPRIO SÃO SEBASTIÃO;;22,54;;;;21,35;;;;21,40;;;;;26,40;;;;;23,15;;;;;25,11;;;;;27,90;;;;;26,36;;;;;25,28;;;;;32,46;;;;;27,90;;;;;26,37;;;;;306,22;;;
;ECOLIMPO;;22,54;;;;21,35;;;;21,40;;;;;26,40;;;;;23,15;;;;;25,11;;;;;27,90;;;;;26,36;;;;;25,28;;;;;32,46;;;;;27,90;;;;;26,37;;;;;306,22;;;
;GALPÃO PRÓPRIO SOBRADINHO;;41,71;;;;36,29;;;;29,21;;;;;31,49;;;;;30,29;;;;;31,97;;;;;31,85;;;;;30,30;;;;;28,69;;;;;30,62;;;;;31,05;;;;;32,85;;;;;386,32;;;
;PLANALTO;;16,13;;;;15,85;;;;12,70;;;;;16,48;;;;;14,94;;;;;17,04;;;;;15,57;;;;;14,60;;;;;12,75;;;;;12,14;;;;;14,54;;;;;16,98;;;;;179,72;;;
;RECICLA MAIS;;25,58;;;;20,44;;;;16,51;;;;;15,01;;;;;15,35;;;;;14,93;;;;;16,28;;;;;15,70;;;;;15,94;;;;;18,48;;;;;16,51;;;;;15,87;;;;;206,60;;;
