;QUANTITATIVO DA COLETA SELETIVA POR COOPERATIVA/ASSOCIAÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lote;;;Nome;;;Tipo;;;Nº Contrato;;;Nº catadores;;;RA;;;Custo mensal do contrato;;;Média mensal do Valor pago;;;Valor pago em 2024*;;;;Média mensal de;;Resíduos coletados – 2024;;;Vigência do Contrato;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;resíduos coletados;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;(ton);;;;;;;
;1;;;Cooperdife;;;Coop.;;;08/2022;;;23;;;RA V - Sobradinho I;;;R$ 56.989,35;;;R$ 57.700,78;;;R$ 692.409,39;;;121,28;;;1.455,31;;;29/04/2025;
2;;;;Recicla Mais;;Coop.;;;09/2022;;;25;;;;RA VII - Paranoá e RA XXVII -;;R$ 59.389,16;;;R$ 59.706,61;;;R$ 716.479,33;;;38,21;;;458,47;;;29/04/2025;;
;;;;Brasil;;;;;;;;;;;;Itapõa;;;;;;;;;;;;;;;;;;;
3;;;Ecolimpo;;;Coop.;;;10/2022;;;12;;;;RA XVI - São Sebastião (Jardim;;R$ 49.384,10;;;R$ 48.026,39;;;R$ 576.316,65;;;25,52;;;306,22;;;29/04/2025;;
;;;;;;;;;;;;;;;;Mangueiral/Jardim Botânico);;;;;;;;;;;;;;;;;;;
4;;;CRV;;;Coop.;;;11/2022;;;39;;;;RA XVIII - Lago Norte e RA;;R$ 45.320,39;;;R$ 46.156,10;;;R$ 553.873,14;;;60,38;;;724,56;;;29/04/2025;;
;;;;;;;;;;;;;;;;XXIII - Varjão;;;;;;;;;;;;;;;;;;;
;5;;;Recicla Brasilia;;;Assoc.;;;12/2022;;;25;;;RA XVI - Lago Sul;;;R$ 61.130,10;;;R$ 62.667,55;;;R$ 752.010,56;;;40,60;;;487,16;;;29/04/2025;
