ATENDIMENTO DA COLETA SELETIVA POR REGIÃO ADMINISTRATIVA;;;;;;;;;;;
;N° da RA;;;Região Administrativa;;;Possui atendimento pela coleta seletiva;;;Prestadora de serviço;
;1;;;Plano Piloto;;;SIM;;;Empresa;
;2;;;Cruzeiro;;;SIM;;;Coop./Emp.;
;3;;;Fercal;;;SIM;;;Cooperativa;
;4;;;Itapoã;;;SIM;;;Coop./Emp.;
;5;;;Lago Norte;;;SIM;;;Coop./Emp.;
;6;;;Paranoá;;;SIM;;;Coop./Emp.;
;7;;;Planaltina;;;SIM;;;Coop./Emp.;
;8;;;Sobradinho I;;;SIM;;;Coop./Emp.;
;9;;;Sobradinho II (St. Mansões);;;SIM;;;Coop./Emp.;
;10;;;Sudoeste/Octogonal;;;SIM;;;Empresa;
;11;;;Varjão;;;SIM;;;Cooperativa;
;12;;;Arapoanga;;;SIM;;;Cooperativa;
;13;;;Brazlândia;;;SIM;;;Cooperativa;
;14;;;Ceilândia;;;SIM;;;Empresa;
;15;;;Samambaia*;;;Parcial/LEV;;;Coop./Emp.;
;16;;;Taguatinga;;;SIM;;;Empresa;
;17;;;Sol Nascente / Pôr do Sol;;;NÃO;;;Sem serviço;
;18;;;São Sebastião*;;;SIM;;;Cooperativa;
;19;;;Lago Sul;;;SIM;;;Cooperativa;
;20;;;Jardim Botânico;;;SIM;;;Cooperativa;
;21;;;Águas Claras;;;SIM;;;Empresa;
;22;;;Candangolândia;;;SIM;;;Cooperativa;
;23;;;Gama;;;SIM;;;Empresa;
;24;;;Guará;;;SIM;;;Empresa;
;25;;;Núcleo Bandeirante;;;SIM;;;Cooperativa;
;26;;;Park Way;;;SIM;;;Coop./Emp.;
;27;;;Recanto das Emas;;;SIM;;;Empresa;
