PAGAMENTOS DOS CONTRATOS COM ORGANIZAÇÕES DE CATADORES E QUADRO DE VENDA DO MATERIAL RECUPERADO;;;;;;;;;;
Contratada;;Contrato;;Janeiro a março de 2024;;;;;;Nº catadores declarados verbalmente
;;;Seletiva/SLU;;Triagem/SLU;Venda;;Total Seletiva + Triagem;;
;;;;;;;;+ Venda;;
1;Cooperdife;Coleta Sel. e Triagem;R$ 692.409,39;;R$ 623.772,30;R$ 510.282,44;R$ 1.826.464,13;;;23
2;Recicla Mais Brasil;Coleta Sel. e Triagem;R$ 716.479,33;;R$ 239.878,50;R$ 293.966,43;R$ 1.250.324,26;;;50
3;Recicla Brasília;Coleta Sel. e Triagem;R$ 752.010,56;;R$ 633.701,73;R$ 923.248,59;R$ 2.308.960,88;;;25
4;Renascer;Coleta Sel. e Triagem;R$ 515.617,88;;R$ 308.388,86;R$ 448.964,39;R$ 1.272.971,13;;;35
5;Coopere;Coleta Sel. e Triagem;R$ 665.631,43;;R$ 272.376,53;R$ 516.525,17;R$ 1.454.533,13;;;30
6;Recicle a Vida;Coleta Sel. e Triagem;R$ 713.276,93;;R$ 1.321.667,94;R$ 5.892.643,81;R$ 7.927.588,68;;;68
7;Cortrap;Coleta Sel. e Triagem;R$ 612.966,78;;R$ 348.815,22;R$ 1.782.212,13;R$ 2.743.994,13;;;40
8;Plasferro;Coleta Sel. e Triagem;R$ 569.114,23;;R$ 891.241,20;R$ 1.517.083,76;R$ 2.977.439,19;;;74
9;Construir;Coleta Sel. e Triagem;R$ 486.662,52;;R$ 883.625,53;R$ 4.006.162,70;R$ 5.376.450,75;;;31
