PESSOAL ENVOLVIDO NA LIMPEZA URBANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PESSOAL LIMPEZA URBANA;;;Operacional;;;;;;;;;;;;;;;;;;;;;;;;;;Apoio;;;;;L A T O T;
;;;;o ã ç irra V ira G;;;ro te lo C;;;e tn a d u jA;S / ro d a z ilib o M / ro tin o M;ro s iv re p u;)a t e lo c / o ã ç irra v (;;;ro d a ta C;;;a n iu q á M e d ro d a re p O;;Motorista;;;;;;;Diversos;Engenheiro / Técnico de Segurança do Trabalho;Médico do Trabalho /Enfermeiro / Aux. de enfermagem do trabalho;Administrativo/ Coordenação;Diversos;;;
;;;;;;;;;;;;;;;;;;;;;;a te lo C;;;s a rtu O;s e d a d iv ita;;;;;;;;;
;VALOR;;1263;;;359;;;0;;65;;;;0;;;0;;;208;;;;;;;156;3;3;43;0;2100;;
;AMBIENTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;(LOTE I);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SUSTENTARE;;1069;;;268;;;0;;7;;;;0;;;0;;;172;;;;;;;109;3;2;55;0;1685;;
;(LOTE II);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUMA (LOTE III);;;435;;;220;;;297;;29;;;;0;;;12;;;163;;;;;;;58;5;2;6;0;1227;;
;BELFORT;;0;;;3;;;4;;0;;;;0;;;1;;;-;;;;;;;0;0;0;1;1;10;;
;Resíduos dos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Serviços de Saúde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL;;;2767;;;850;;;301;;101;;;;0;;;13;;;543;;;;;;;323;11;7;105;1;5022;;
