;QUADRO LOA x DESPESA (EM R$);;;;;;;;;;;;;;;;;;;
;Exercício;;;LOA - Receitas;;;Variação Percentual;;;Aumento Absoluto;;;Despesas;;;Variação Percentual;;;Aumento Absoluto;
;2011;;323.272.152;;;%;;;0;;;262.768.454;;;%;;;0;;
;2012;;310.685.339;;;-4;;;-12.586.813;;;361.897.714;;;38;;;99.129.260;;
;2013;;389.082.954;;;25;;;78.397.615;;;409.233.166;;;13;;;47.335.452;;
;2014;;366.068.361;;;-6;;;-23.014.593;;;443.347.285;;;8;;;34.114.119;;
;2015;;346.111.997;;;-5;;;-19.956.364;;;487.197.691;;;10;;;43.850.406;;
;2016;;498.067.973;;;44;;;151.955.976;;;495.849.555;;;2;;;8.651.864;;
;2017;;472.234.656;;;-5;;;-25.833.317;;;532.513.645;;;7;;;36.664.090;;
;2018;;532.116.663;;;13;;;59.882.007;;;547.033.386;;;3;;;14.519.741;;
;2019;;534.773.833;;;0;;;2.657.170;;;497.348.293;;;-9;;;-49.685.093;;
;2020;;585.489.991;;;9;;;50.716.158;;;531.602.486;;;7;;;34.254.193;;
;2021;;547.859.303;;;-6;;;-37.630.688;;;568.336.065;;;7;;;36.733.579;;
;2022;;589.308.218;;;8;;;3.818.227;;;686.468.543;;;21;;;118.132.478;;
;2023;;685.250.423;;;16;;;137.391.120;;;815.790.562;;;19;;;129.322.019;;
;2024;;676.314.030;;;-1;;;-8.936.393;;;620.788.954;;;-24;;;-195.001.608;;
;2025;;;712.104.967;;;5;;;35.790.937;;;202.366.464;;;-67;;;-418.422.490;
