;EVOLUÇÃO TLP (R$);;;;;;;;
;2005;;60.457.462,85;;2016;;155.527.079,00;;
;2006;;67.477.330,40;;2017;;161.396.446,00;;
;2007;;89.260.199,00;;2018;;163.637.281,00;;
;2008;;88.899.388,98;;2019;;183.140.330,00;;
;2009;;90.503.558,73;;2020;;182.886.863,00;;
;2010;;98.620.587,56;;2021;;205.269.385,00;;
;2011;;106.351.621,97;;2022;;152.316.184,00;;
;2012;;113.585.231,56;;2023;;180.915.343,00;;
;2013;;133.964.473,00;;2024;;173.082.803,00;;
;2014;;130.782.508,70;;2025;;;194.965.107,00;
;2015;;145.753.320,00;;;;;;
