CONTRATO Nº;EMPRESA;;DATA DE;;OBJETO;;;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES
;;;ASSINATURA/;;;;;;;
;;;INÍCIO DA VIGÊNCIA;;;;;;;
51/2025;AR EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS LTDA;20/09/2025;;;;O CONTRATO TEM POR OBJETO A LOCAÇÃO DE IMÓVEL DE TERCEIROS, NÃO;;20/09/2030;R$ 15.639.627,30;LUIS FERNANDO MONTEIRO BARBOSA, ANDERSON MUNIZ DE SOUSA
;;;;;;RESIDENCIAL, SITUADO NO SCS, QUADRA 08, BLOCO B50, COM ÁREA;;;;
;;;;;;CONSTRUÍDA TOTAL DE 3.673,98 M², COMPREENDENDO OS CONJUNTOS 601 A;;;;
;;;;;;644, 701 A 717, 702 A 708 E 710 A 744, ALÉM DE COMODATO DO MUSEU DO;;;;
;;;;;;SLU: LUC 101, 102 E 103, COM ESTRUTURA FÍSICA E LOCALIZAÇÃO COMPATÍVEIS;;;;
;;;;;;COM AS NECESSIDADES OPERACIONAIS DO SERVIÇO DE LIMPEZA URBANA DO;;;;
;;;;;;DISTRITO FEDERAL – SLU/DF, CONFORME AS CONDIÇÕES ESTABELECIDAS NO;;;;
;;;;;;PROJETO BÁSICO (174796589) E NO ESTUDO TÉCNICO PRELIMINAR (174677219).;;;;
49/2025;VALOR AMBIENTAL LTDA;05/09/2025;;;;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OPERAÇÃO DA UNIDADE DE;;05/09/2026;R$ 14.704.258,96;GUSTAVO DE OLIVEIRA COSTA. JOÃO GABRIEL SILVA DE GODOI, FELIPE LEITE NISIYAMA
;;;;;;RECEBIMENTO DE ENTULHOS NO DISTRITO FEDERAL, POR 06 (SEIS) MESES,;;;;
;;;;;;PRORROGÁVEIS NO LIMITE MÁXIMO DE 12 (DOZE) MESES, CONFORME;;;;
;;;;;;ENTENDIMENTO DA ADI 6890/STF OU ATÉ QUE A CONTRATAÇÃO REGULAR SEJA;;;;
;;;;;;CONCLUÍDA - OBJETO DO PROCESSO ADMINISTRATIVO Nº 00094-;;;;
;;;;;;00006597/2023-61, O QUE VIER A OCORRER PRIMEIRO;;;;
48/2025;STAR LOCAÇÃO DE SERVIÇOS GERAIS LTDA;05/09/2025;;;;PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE 53 (CINQUENTA E TRÊS) AUTOMÓVEIS;;05/09/2026;R$ 1.586.820,00;JOSANE NASCIMENTO DE OLIVEIRA, ANDERSON MUNIZ DE SOUSA
;;;;;;TIPO HATCH, SEM MOTORISTA E SEM COMBUSTÍVEL, A FIM DE ATENDER ÀS;;;;
;;;;;;DEMANDAS DAS DIRETORIAS QUE COMPÕEM A ESTRUTURA ADMINISTRATIVA;;;;
;;;;;;DESTE SLU/DF, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA;;;;
47/2025;AVANTI ENGENHARIA E TECNOLOGIA LTDA;01/08/2025;;;;CONTRATAÇÃO DE SERVIÇO DE INSTALAÇÃO COM FORNECIMENTO DE SISTEMA;;01/08/2026;R$ 1.538.416,00;JOAQUIM DE MATOS FURTADO JUNIOR, WAGNER SANTANA
;;;;;;DE MONITORAMENTO ELETRÔNICO, SISTEMA DE CONTROLE DE ACESSO,;;;;
;;;;;;CABEAMENTO ESTRUTURADO METÁLICO E ÓTICO, ATIVOS DE REDE, REDE;;;;
;;;;;;WIRELES, PROTEÇÃO DE DADOS E INFRAESTRUTURA EM GERAL, A FIM DE;;;;
;;;;;;ATENDER ÀS NECESSIDADES DAS INSTALAÇÕES FÍSICAS DO SERVIÇOS DE;;;;
;;;;;;LIMPEZA URBANA DO DISTRITO FEDERAL, CONFORME CONDIÇÕES,;;;;
;;;;;;QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NESTE CONTRATO, NO TERMO DE;;;;
;;;;;;REFERÊNCIA E APÊNDICES DO EDITAL.;;;;
46/2025;AVANTI ENGENHARIA E TECNOLOGIA LTDA;01/08/2025;;;;CONTRATAÇÃO DE SERVIÇO DE INSTALAÇÃO COM FORNECIMENTO DE CÂMERAS;;01/08/2026;R$ 106.848,00;JOAQUIM DE MATOS FURTADO JUNIOR, WAGNER SANTANA
;;;;;;DE MONITORAMENTO E SISTEMA DE CONTROLE DE ACESSO, A FIM DE ATENDER;;;;
;;;;;;ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA DO DISTRITO FEDERAL,;;;;
;;;;;;CONFORME QUANTITATIVO, CONDIÇÕES E ESPECIFICAÇÕES CONTIDAS NO;;;;
;;;;;;TERMO DE REFERÊNCIA.;;;;
45/2025;COPA ENERGIA DISTRIBUIDORA DE GÁS S/A;31/07/2025;;;;O OBJETO DO PRESENTE INSTRUMENTO É A AQUISIÇÃO DE GÁS ENGARRAFADO -;;31/07/2026;R$ 10.500,00;N/A
;;;;;;GÁS LIQUEFEITO DE PETRÓLEO (GLP).;;;;
44/2025;LICITOP COMÉRCIO E SERVIÇO LTDA;07/08/2025;;;;O OBJETO DO PRESENTE INSTRUMENTO É A AQUISIÇÃO DE APARELHOS DE AR;;07/08/2026;R$ 113.250,00;ANDERSON MUNIZ DE SOUSA, EDSON RODRIGUES DA SILVA, RAPHAEL SINIVAL DE OLIVEIRA
;;;;;;CONDICIONADO, TIPO SPLIT HI-WALL, INCLUINDO A INSTALAÇÃO, VISANDO;;;;
;;;;;;ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANO DO DISTRITO;;;;
;;;;;;FEDERAL/SLU, CONFORME CONDIÇÕES E ESPECIFICAÇÕES CONSTANTES NO;;;;
;;;;;;TERMO DE REFERÊNCIA.;;;;
43/2025;AVANTI ENGENHARIA E TECNOLOGIA LTDA;30/07/2025;;;;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE EMPRESA;;30/07/2026;R$ 224.225,50;JOÃO VICTOR PIRES DA SILVEIRA, LUIZ RIBEIRO VALE JUNIOR
;;;;;;ESPECIALIZADA PARA MODERNIZAÇÃO DA INFRAESTRUTURA TECNOLÓGICA DA;;;;
;;;;;;UNIDADE DE RECOLHIMENTO DE ENTULHO (URE/SLU), A FIM DE ATENDER ÀS;;;;
