26/2025;MC ENGENHARIA LTDA;;;05/02/2025;;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DA;;18/10/2026;R$ 4.013.800,78;FERNANDO EDSON OLIVEIRA PEREIRA, GABRIEL AUGUSTO FERREIRA RIBEIRO, ANA SOFIA CAVALCANTI JUCÁ;;
;;;;;;IMPLANTAÇÃO DA UNIDADE DE TRANSBORDO DE RESÍDUOS NA REGIÃO DE;;;;;;
;;;;;;BRAZLÂNDIA, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS;;;;;;
;;;;;;ESTABELECIDAS NO EDITAL E SEUS ANEXOS.;;;;;;
02/2025;IMAGEM GEOSISTEMAS E COMÉRCIO LTDA.;;;19/02/2025;;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA LICENCIAMENTO,;;19/02/2026;R$ 1.168.706,22;VICTOR ALEXSANDER DE OLIVEIRA SILVA, MURILO DE OLIVEIRA CAIXÊTA;;
;;;;;;MANUTENÇÃO E ATUALIZAÇÃO DO SOFTWARE DE SISTEMA DE INFORMAÇÃO;;;;;;
;;;;;;GEOGRÁFICA ARCGIS ENTERPRISE, CONFORME ART. 74, INCISO I, DA LEI Nº;;;;;;
;;;;;;14.133/2021.;;;;;;
56/2024;NEOENERGIA DISTRIBUICAO BRASILIA S.A.;;;31/12/2024;ESTE CONTRATO TEM POR OBJETO A PRESTAÇÃO PELA DISTRIBUIDORA DO SERVIÇO PÚBLICO DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA AO CONSUMIDOR.;;;31/12/2025;R$ 514.800,00;;FABIENE FREIRE AMORIM, LUIS FERNANDO;
;;;;;;;;;;;MONTEIRO BARBOSA, SERGIO FERNANDES DE;
;;;;;;;;;;;FARIA, MARCONE MENDONÇA DE ARAÚJO;
55/2024;CAESB;;;31/12/2024;;O PRESENTE CONTRATO TEM POR OBJETO A PRESTAÇÃO DOS SERVIÇOS;;31/12/2025;R$ 514.800,00;FABIENE FREIRE AMORIM, LUIS FERNANDO MONTEIRO BARBOSA, SERGIO FERNANDES DE FARIA, MARCONE MENDONÇA DE ARAÚJO;;
;;;;;;PÚBLICOS DE ABASTECIMENTO DE ÁGUA, ESGOTAMENTO SANITÁRIO E OUTROS;;;;;;
;;;;;;SERVIÇOS PARA AS DEPENDÊNCIAS DO CONSUMIDOR, REFERENTES AOS;;;;;;
;;;;;;NÚCLEOS DO SLU E PONTOS DE ENTREGA VOLUNTÁRIA - PEVS, NAS UNIDADES;;;;;;
;;;;;;DE CONSUMO RELACIONADOS NO ANEXO I DESTE INSTRUMENTO.;;;;;;
