CONTRATO Nº;EMPRESA;;;DATA DE;;OBJETO;;;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;;
;;;;ASSINATURA/;;;;;;;;;
;;;;INÍCIO DA VIGÊNCIA;;;;;;;;;
42/2025;OLIMPIO CONSTRUÇÕES LTDA;;07/07/2025;;;;O CONTRATO TEM POR OBJETO A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA;;07/07/2026;R$ 9.219.876,60;ATÉ O PRESENTE MOMENTO, AINDA NÃO FOI EMITIDA A ORDEM DE SERVIÇO REFERENTE A ESTE CONTRATO.;;
;;;;;;;PARA EXECUÇÃO DE PROJETO DE ENGENHARIA PARA A INSTALAÇÃO DE PONTOS;;;;;;
;;;;;;;DE ENTREGA VOLUNTÁRIA (PEV), A SER DEFINIDA CONFORME NECESSIDADES;;;;;;
;;;;;;;ENCONTRADAS NAS REGIÕES ADMINISTRATIVAS.;;;;;;
27/2025;EMPRESA MC ENGENHARIA LTDA;;02/04/2025;;;;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE EMPRESA;;27/12/2026;R$ 9.934.662,61;;FERNANDO EDSON OLIVEIRA PEREIRA, ANA;
;;;;;;;ESPECIALIZADA PARA A EXECUÇÃO DA REFORMA DO TRANSBORDO DE;;;;;SOFIA CAVALCANTI JUCÁ, GABRIEL AUGUSTO;
;;;;;;;SOBRADINHO E DO GAMA, CONFORME ESPECIFICAÇÕES.;;;;;FERREIRA RIBEIRO;
06/2023;GOLDMAN SOLUÇÕES EM SANEAMENTO EIRELI;;05/05/2023;;;;PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO, SOB DEMANDA, DE SUCÇÃO POR;;09/05/2025;R$ 2.671.584,00;FELIPE LEITE NISIYAM, PAULA DE SOUSA ALVES;;
;;;;;;;BOMBEAMENTO DE CHORUME NA UNIDADE DE RECEBIMENTO DE ENTULHO -;;;;;;
;;;;;;;URE (ÁREA ESPECIAL, QD. 15, CONJUNTO C1, SCIA/ESTRUTURAL), TRANSPORTE E;;;;;;
;;;;;;;DESCARTE EM LAGOA DE ACUMULAÇÃO DO ATERRO SANITÁRIO DE BRASÍLIA -;;;;;;
;;;;;;;ASB (RODOVIA DF 180, KM 16, SAMAMBAIA);;;;;;
56/2025;D-GEO GEOLOGIA E;;24/10/2025;;;;GERENCIAMENTO DE ÁREAS CONTAMINADAS (GAC) NAS UNIDADES DO SERVIÇO;;24/01/2027;R$ 989.898,12;FELIPE, THIAGO, SAMUEL E TATIANE RABELO;;
;ENGENHARIA AMBIENTAL LTDA;;;;;;DE LIMPEZA URBANA DO DISTRITO FEDERAL (SLU/DF);;;;;;
58/2025;AMÉRICA BRASIL SUL SERVIÇOS LTDA;;23/01/2025;;;;DISPONIBILIZAÇÃO DE POSTOS DE TRABALHO COM DEDICAÇÃO;;23/01/2025;R$ 2.476.988,57;;ATÉ O PRESENTE MOMENTO, AINDA NÃO FOI;
;;;;;;;EXCLUSIVA DE MÃO DE OBRA PARA A OPERAÇÃO DAS 12 (DOZE) BALANÇAS;;;;;EMITIDA A ORDEM DE SERVIÇO REFERENTE A;
;;;;;;;RODOVIÁRIAS;;;;;ESTE CONTRATO.;
61/2025;SOTKON;;24/11/2025;;;;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO, INSTALAÇÃO,;;24/11/2026;R$ 3.346.135,35;EVERALDO ANTÔNIO DE ARAÚJO/IGOR FRANCISCO DE MENDONÇA ABREU/MICHELLE JULIENY RODRIGUES FONSECA;;
;;;;;;;SUBSTITUIÇÃO E;;;;;;
;;;;;;;REMOÇÃO DE CONTÊINERES SEMIENTERRADOS, CONFORME CONDIÇÕES,;;;;;;
;;;;;;;QUANTIDADES E ESPECIFICAÇÕES TÉCNICAS;;;;;;
;;;;;;;ESTABELECIDAS NO TERMO DE REFERÊNCIA.;;;;;;
67/2025;AVANTI;;31/12/2025;;;;CONTRATAÇÃO DE SERVIÇOS COMUNS DE ENGENHARIA DE INSTALAÇÃO COM;;31/12/2026;R$ 37.478,64;;ATÉ O PRESENTE MOMENTO, AINDA NÃO FOI;
;;;;;;;FORNECIMENTO DE CÂMERAS DE MONITORAMENTO E SISTEMA DE CONTROLE;;;;;EMITIDA A ORDEM DE SERVIÇO REFERENTE A;
;;;;;;;DE ACESSO;;;;;ESTE CONTRATO.;
