CONTRATO Nº;EMPRESA;;DATA DE;;OBJETO;;;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES
;;;ASSINATURA/;;;;;;;
;;;INÍCIO DA VIGÊNCIA;;;;;;;
52/2025;COMAZI TRATORES E MÁQUINAS LTDA;01/10/2025;;;;O OBJETO DO PRESENTE INSTRUMENTO É AQUISIÇÃO DE PÁ CARREGADEIRA;;01/10/2026;R$ 756.000,00;FRANCISCO KRISMAWILLIAMS DE ALMEIDA MAIA, KEURYN ANDERSON DE OLIVEIRA
;;;;;;COM MOTOR ALIMENTADO A DIESEL, POR MEIO DO SISTEMA DE REGISTRO DE;;;;
;;;;;;PREÇOS – SRP, DE MÁQUINAS PESADAS, INCLUINDO O FORNECIMENTO COM A;;;;
;;;;;;CARGA, TRANSPORTE E DESCARGA DO BEM, EM ATENDIMENTO ÀS;;;;
;;;;;;NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA DO DISTRITO FEDERAL - SLU,;;;;
;;;;;;NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.;;;;
28/2025;LIFE CLEAN COMERCIO DE EQUIPAMENTOS LTDA;25/02/2025;;;;O CONTRATO TEM POR OBJETO A PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO;;25/02/2026;R$ 177.645,80;THEO ALBUQUERQUE DE PAULA, GABRIEL MIRANDA SERRÃO
;;;;;;E INSTALAÇÃO DE PAPELEIRAS, CONSOANTE ESPECIFICA O EDITAL DE LICITAÇÃO;;;;
;;;;;;DO PREGÃO ELETRÔNICO Nº 20/2023-SLU/DF (161588844), A PROPOSTA DE;;;;
;;;;;;PREÇOS (161589239) E A DA ATA DE REGISTRO DE PREÇOS Nº. 01/2024;;;;
;;;;;;(161588773), QUE PASSAM A INTEGRAR O PRESENTE INSTRUMENTO SEM;;;;
;;;;;;NECESSIDADE DE TRANSCRIÇÃO NA ÍNTEGRA.;;;;
47/2024;3F LTDA;28/11/2024;;;;ORÇAFASCIO, DESCRIÇÃO: CONTRATAÇÃO DA FERRAMENTA PARA;;28/11/2025;R$ 9.990,00;ELBES ALVES DE SOUZA, BRUNO DENÓFRIO PORTO
;;;;;;LEVANTAMENTO E COMPARAÇÃO DE PREÇOS DE SERVIÇOS E OBRAS DE;;;;
;;;;;;ENGENHARIA DENOMINADA ORÇAFASCIO POR UM PERÍODO DE 12 MESES,;;;;
;;;;;;RENOVÁVEIS, ONDE A SOLUÇÃO COMPREENDE A ASSINATURA ANUAL DA;;;;
;;;;;;PLATAFORMA ORÇAFASCIO COM DIREITO A 05 USUÁRIOS;;;;
45/2024;LIFE CLEAN COMERCIO DE EQUIPAMENTOS LTDA;01/11/2024;;;;O CONTRATO TEM POR OBJETO A PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO;;01/11/2025;R$ 252.578,80;EVERALDO ANTONIO DE ARAUJO, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA
;;;;;;E INSTALAÇÃO DE PAPELEIRAS, CONSOANTE ESPECIFICA O EDITAL DE LICITAÇÃO;;;;
;;;;;;DO PREGÃO ELETRÔNICO Nº 20/2023-SLU/DF, A PROPOSTA DE PREÇOS E A DA;;;;
;;;;;;ATA DE REGISTRO DE PREÇOS Nº. 01/2024, QUE PASSAM A INTEGRAR O;;;;
;;;;;;PRESENTE INSTRUMENTO SEM NECESSIDADE DE TRANSCRIÇÃO NA ÍNTEGRA;;;;
38/2024;LIFE CLEAN COMERCIO DE EQUIPAMENTOS LTDA;10/10/2024;;;;O CONTRATO TEM POR OBJETO A PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO;;10/10/2025;R$ 650.900,52;EVERALDO ANTONIO DE ARAUJO, ÁLVARO HENRIQUE FERREIRA DOS SANTOS, FRANCISCO KRISMAWILLAMS DE ALMEIDA MAIA
;;;;;;E INSTALAÇÃO DE PAPELEIRAS, CONSOANTE ESPECIFICA O EDITAL DE LICITAÇÃO;;;;
;;;;;;DO PREGÃO ELETRÔNICO Nº 20/2023-SLU/DF (150058763) E A PROPOSTA DE;;;;
;;;;;;PREÇOS (150065285);;;;
59/2025;LÍDER NOTEBOOKS;26/11/2025;;;;CONTRATAÇÃO DE SOLUÇÃO DE TECNOLOGIA DA INFORMAÇÃO E;;26/11/2026;R$ 302.310,00;FABIANO MAGALHÃES E PERCILIO EUGENIO
;;;;;;COMUNICAÇÃO, POR MEIO DO REGISTRO DE PREÇOS, PARA A AQUISIÇÃO DE;;;;
;;;;;;ESTAÇÕES DE TRABALHO (DESKTOPS), EQUIPAMENTOS MÓVEIS (NOTEBOOKS) E;;;;
;;;;;;MONITORES SOBRESSALENTES,;;;;
