;;;NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE LOTE 18 - PLANALTINA II;;;LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
24/2022;COOPERATIVA DE TRABALHO RECICLAMAIS;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 17 - PLANALTINA I;30/04/2026;R$ 554.635,14;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
23/2022;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL - CONSTRUIR;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 16 COLÔNIA AGRÍCOLA SAMAMBAIA;30/04/2026;R$ 458.657,16;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
22/2022;COOPERATIVA DE RECICLAGEM AMBIENTAL PLASFERRO;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 15 - JARDIM BOTÂNICO III,;30/04/2026;R$ 587.693,55;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
21/2022;COOPERATIVA DE TRABALHO RECICLA MAIS BRASIL;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 14 - JARDIM BOTÂNICO II;30/04/2026;R$ 628.719,00;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
20/2022;COOPERATIVA DE RECICLAGEM, TRABALHO E PRODUÇÃO - CORTRAP;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE LOTE 13 - JARDIM BOTÂNICO I;30/04/2026;R$ 588.000,00;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
19/2022;COOPERATIVA DE TRABALHO DE COLETA SELETIVA DE MATERIAIS RECICLAVEIS E RESIDUOS SOLIDOS RECICLO;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 12 - PARKWAY;30/04/2026;R$ 466.677,06;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
18/2022;COOPERATIVA DE TRABALHO DE RECICLAGEM DE BRAZLÂNDIA;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 11 - BRAZLÂNDIA;30/04/2026;R$ 589.827,95;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
17/2022;COOPERATIVA DE TRABALHO RECICLE A VIDA DE CATADORES DO DF;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 10 - SAMAMBAIA;30/04/2026;R$ 780.471,32;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
16/2022;R3 COOPERATIVA DE CATADORES DE SANTA MARIA;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 9 - SANTA MARIA;30/04/2026;R$ 667.610,68;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
15/2022;COOPERATIVA E TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS E REUTILIZÁVEIS AMBIENTAL - COOPERE;29/04/2022;PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO DE RESÍDUOS URBANOS RECICLÁVEIS SECOS DOMICILIARES E COMERCIAIS, COM A REMOÇÃO DO REJEITO PARA DISPOSIÇÃO FINAL EM LOCAL DEFINIDO PELO SLU PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF, REFERENTE AO LOTE 08 - RIACHO FUNDO I E II;30/04/2026;R$ 680.570,45;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES, NELSON GONÇALVES PIRES FILHO, LEONARDO CARLOS SILVA CUNHA, GABRIEL RODRIGUES ROCHA E SILVA, JÚLIO CAMPOS FONTES DE ALVARENGA
