Nº;;;SEDE;;;NÚCLEO;RA;ENDEREÇO;PROPRIEDADE;SITUAÇÃO;ÁREA TOTAL;;;ÁREA CONSTRUÍDA;
;;;;;;;;;;;M2;;;M2;
1;;;Administração;;;SEDE SLU;Brasília;SCS – QUADRA 08 – Bloco B50 – 6º Andar - Ed. Venâncio 2000;Particular;Alugado;-;;2.149;;
;;;;Subtotal;;;;;;;-;;;2.149;
2;;;GESUL;;;NUCLA;Águas Claras;Parque do Areal - Areal;IBRAM;Empréstimo;;;;;
3;;;;;;NUBRA;Brazlândia;Área Especial nº 02 Norte;Próprio;Regularizado;25.000;;533;;
4;;;;;;NUCEI;Ceilândia;QNN 29 módulo G a K Área Especial;Próprio;Regularizado;25.000;;295;;
5;;;;;;NUEST;Cidade Estrutural;AE. Quadra 15, Conj. C1;TERRACAP;Processo Regularização 00111- 00016598/2017-01;7.200;;766;;
6;;;;;;NUTAG;Taguatinga;QNG 47 Área Especial 09 Taguatinga;Próprio;Regularizado;7.200;;306;;
7;;;;;;NUPLA;Planaltina;A/E Norte LT. 11/12;Próprio;Regularizado;10.789;;263;;
8;;;;;;NUGAM;Gama;AV. Contorno A/E 2 Setor Norte -Gama;Próprio;Regularizado;80.000;;-;;
9;;;;;;NUSOB;Sobradinho;A/E Indústria 3 LT 04/06;Próprio;Regularizado;30.000;;721;;
10;;;GEOES;;;NUSEB;São Sebastião;Quadra 305, Conj. 14 Lote 02, Bairro Residencial Oeste;TERRACAP;Processo Regularização 094.000943/2011;-;;-;;
11;;;;;;NUGUA;Guará;Área Especial do CAVE- Adm. Regional do Guará;Administração Regional do Guará;Empréstimo;-;;-;;
12;;;;;;NUBAN;Núcleo Bandeirante;Praça Padre Roque, 3ª Avenida, Projeção 2;Administração Regional do Núcleo Bandeirante;Empréstimo;-;;-;;
13;;;;;;NUPAR;Paranoá/Itapoã;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";TERRACAP;Cedido;4.105;;-;;
14;;;;;;NUBSB;Asa Sul;Avenida das Nações S/N;Próprio;Regularizado;116.469;;9.737;;
15;;;;;;NURIF;Riacho Fundo I;QN. 09, Área Especial 03, Lote 06 – Adm. Riacho Fundo;Administração Regional do Riacho Fundo I;Empréstimo;-;;-;;
