;;;;CNPJ 19.779.233/0001-62;;
00094-00000358/2025-61;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO DE CATADORES ECOLIMPO LTDA, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 16/2025;R$ 619.812,00;COOPERATIVA DE TRABALHO DE CATADORES ECOLIMPO LTDA CNPJ 19.289.264/0001-35;01567525000176-1- 000017/2025;10/2025
00094-00000363/2025-73;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO DE RECICLAGEM DE BRAZLÂNDIA (CRB), DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 17/2025;R$ 126.510,52;COOPERATIVA DE TRABALHO DE RECICLAGEM DE BRAZLÂNDIA (CRB) CNPJ 28.111.152/0001-80;01567525000176-1- 000016/2025;19/2025
00094-00000364/2025-18;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO RENOVE DE RESÍDUOS SÓLIDOS DE BRASÍLIA – CTRRSB, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 18/2025;R$ 1.174.699,47;COOPERATIVA DE TRABALHO RENOVE DE RESÍDUOS SÓLIDOS DE BRASÍLIA – CTRRSB CNPJ 21.097.307/0001‐22,;01567525000176-1- 000015/2025;20/2025
00094-00000359/2025-13;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO DE RECICLAGEM DO VARJÃO - COOPERATIVA CRV, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 19/2025;R$ 636.615,79;COOPERATIVA DE TRABALHO DE RECICLAGEM DO VARJÃO - COOPERATIVA CRV CNPJ 37.966.802/0001-60;01567525000176-1- 000014/2025;16/2025
00094-00000360/2025-30;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO RECICLA MAIS BRASIL, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 20/2025;R$ 373.195,69;COOPERATIVA DE TRABALHO RECICLA MAIS BRASIL CNPJ 37.903.920/0001-20;01567525000176-1- 000013/2025;17/2025
00094-00000357/2025-16;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS (RENASCER), DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 21/2025;R$ 482.076,00;COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS (RENASCER) CNPJ 16.604.221/0001-09;01567525000176-1- 000021/2025;25/2025
00094-00000361/2025-84;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL DO DISTRITO FEDERAL E RIDE DF (COOPERDIFE), DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 22/2025;R$ 658.929,02;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL DO DISTRITO FEDERAL E RIDE DF (COOPERDIFE) CNPJ 10.664.038/0001-12;01567525000176-1- 000022/2025;23/2025
00094-00000349/2025-70;CONTRATAÇÃO DA RECICLE A VIDA COOPERATIVA DE TRABALHO DE CATADORES DO DF, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 23/2025;R$ 1.650.077,28;RECICLE A VIDA COOPERATIVA DE TRABALHO DE CATADORES DO DF CNPJ 22.884.599/0001-06;01567525000176-1- 000023/2025;8/2025
00094-00000538/2025-42;"CONTRATAÇÃO DE QUATRO INSCRIÇÕES PARA A PARTICIPAÇÃO DE 4 (QUATRO) SERVIDORES DO SERVIÇO DE LIMPEZA URBANA- SLU DO DISTRITO FEDERAL NO EVENTO ""20º CONGRESSO BRASILEIRO DE PREGOEIROS E AGENTES DE CONTRATAÇÃO""";INEXIGIBILIDADE Nº 25/2025;R$ 24.820,00;INP - INSTITUTO NEGÓCIOS PÚBLICOS – ESTUDOS E PESQUISAS NA ADMINISTRAÇÃO PÚBLICA LTDA - ME CNPJ 10.498.974/0001-09;01567525000176-1- 000023/2025;2025NE00299
00094-00001554/2024-71;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA LICENCIAMENTO, MANUTENÇÃO E ATUALIZAÇÃO DO SOFTWARE DE SISTEMA DE INFORMAÇÃO GEOGRÁFICA ARCGIS ENTERPRISE;INEXIGIBILIDADE Nº 26/2025;R$ 1.168.706,22;IMAGEM GEOSISTEMAS E COMÉRCIO LTDA CNPJ Nº 67.393.181/0001-34;01567525000176-1- 000028/2025;2/2025
00094-00000002/2025-27;"CONTRATAÇÃO DE DUAS INSCRIÇÕES PARA A PARTICIPAÇÃO DE 2 (DOIS) SERVIDORES DO SERVIÇO DE LIMPEZA URBANA- SLU DO DISTRITO FEDERAL NO EVENTO ""SMART CITY EXPO - 2025"" QUE SERÁ REALIZADO EM CURITIBA/PR";INEXIGIBILIDADE Nº 27/2025;R$ 1.500,00;FORUS SOLUCOES EM SUSTENTABILIDADE LTDA. CNPJ 18.451.218/0001-28;01567525000176-1- 000033/2025;2025NE00490
00094-00001601/2025-68;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO POPULAR DE COLETA SELETIVA DE PRODUTOS RECICLÁVEIS COM FORMAÇÃO E EDUCAÇÃO AMBIENTAL - COOPATIVA, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 28/2025;R$ 141.454,87;COOPERATIVA DE TRABALHO POPULAR DE COLETA SELETIVA DE PRODUTOS RECICLAVEIS COM FORMACAO E EDUCACAO AMBIENTAL - COOPATIVA CNPJ 05.247.950/0001-39;01567525000176-1- 000030/2025;32/2025
