ATIVIDADE;;;UNIDADE;2017;2018;2019;2020;2021;2022;2023;2024;2025
Coleta dos resíduos domiciliares e comerciais;;;T;828.765;800.685;782.125;786.122,0;729.082,7;696.995,94;710.679,23;730.174,41;724.393
;Coleta dos resíduos de remoção (coleta;;T;636.005;438.079;425.175;615.760,8;612.086,0;600.048,4;651.290,0;653.934,6;678.075
;corretiva) (manual + mecanizada);;;;;;;;;;;
Varrição manual de vias e logradouros públicos;;;km;1.284.173;1.204.297;1.193.036;1.039.063,1;1.053.705,3;1.062.528,2;1.063.007,3;1.036.909,8;1.067.450
;Varrição mecanizada de vias e logradouros;;km;41.288;42.187;61.407;152.814,3;171.517,1;214.002,1;213.752,2;212.779,1;213.081
;públicos;;;;;;;;;;;
Coleta de Resíduos de Caixa de Gordura;;;T;-;-;-;107,25;97,67;81,42;84,83;81,84;79,33
Resíduos processados em usinas de tratamento;;;T;230.916;238.851;225.357;228.422;251.348;274.659;283.402;302.297;292.481
Resíduos aterrados no ASB;;;T;252.703;749.608;800.872;821.089;760.763;718.554;743.776;761.311;773.093
Coleta de animais mortos;;;T;63,06;83,00;76,18;65,84;76,82;79,95;64,82;69,69;69,54
Coleta seletiva das empresas;;;T;29.968;28.549;28.522;18.311,03;31.865,72;33.761,43;44.681,40;48.852,75;54.549
Resíduos de entulhos aterrados na URE;;;T;-;1.303.662;1.423.028;1.589.393,18;1.466.145,31;1.485.844,51;1.507.223,80;1.599.445,58;1.450.659
Retirada de rejeitos das IRRs;;;T;-;-;-;3.517,00;19.961,76;22.701,53;22.156,49;22.825,47;28.681
Tratamento de chorume;;;m³;-;-;18.588;398.489,35;306.152,40;266.788,07;303.111,29;378.805,90;460.052
