;Unidade;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Águas Claras;;36,78;;;40,04;;;16,35;;;54,63;;;32,93;;;33,87;;;37,65;;;30,94;;;54,54;;;38,09;;;55,99;;;60,81;;;;492,62;;;41,05;
;Asa sul;;1,09;;;21,68;;;11,70;;;24,75;;;35,32;;;15,80;;;29,17;;;19,72;;;22,66;;;38,16;;;34,97;;;41,00;;;;296,02;;;24,67;
;Brazlândia 1;;2,78;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;;2,78;;;0,23;
;Brazlândia 2;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;;0,00;;;0,00;
;Ceilândia 1;;7,65;;;4,27;;;13,20;;;8,64;;;24,60;;;26,33;;;3,20;;;22,05;;;26,31;;;70,62;;;79,76;;;50,18;;;;336,81;;;28,07;
;Ceilândia 2;;1,32;;;0,00;;;0,72;;;0,00;;;97,66;;;0,00;;;2,04;;;5,51;;;0,00;;;103,64;;;16,24;;;17,30;;;;244,43;;;20,37;
;Gama 1;;41,24;;;32,59;;;50,81;;;34,43;;;54,80;;;26,80;;;53,59;;;42,30;;;48,40;;;63,14;;;66,83;;;57,48;;;;572,41;;;47,70;
;Gama 2;;27,63;;;33,58;;;25,75;;;28,22;;;24,11;;;20,37;;;12,56;;;17,49;;;29,72;;;30,97;;;41,10;;;23,13;;;;314,63;;;26,22;
;Guará 1;;29,51;;;18,09;;;49,86;;;49,55;;;46,96;;;26,48;;;63,53;;;72,15;;;68,42;;;14,94;;;108,06;;;153,03;;;;700,58;;;58,38;
;Guará 2;;26,35;;;13,59;;;17,91;;;11,67;;;16,62;;;15,00;;;11,32;;;12,68;;;14,60;;;53,15;;;15,20;;;23,51;;;;231,60;;;19,30;
;Lago Norte;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;2,01;;;0,00;;;0,97;;;2,50;;;114,79;;;0,00;;;7,78;;;;128,05;;;10,67;
;Paranoá;;46,53;;;49,56;;;34,84;;;58,54;;;50,87;;;22,27;;;52,39;;;50,56;;;57,12;;;13,03;;;60,61;;;62,31;;;;558,63;;;46,55;
;Planaltina;;5,35;;;2,59;;;0,88;;;0,00;;;0,00;;;0,00;;;0,00;;;3,68;;;0,00;;;63,05;;;15,40;;;22,77;;;;113,72;;;9,48;
;Pôr do Sol;;2,92;;;1,88;;;1,01;;;6,33;;;6,92;;;7,38;;;3,83;;;3,47;;;3,04;;;17,29;;;10,79;;;13,22;;;;78,08;;;6,51;
;Recanto das Emas;;4,21;;;5,48;;;6,34;;;1,38;;;20,26;;;3,15;;;9,09;;;8,77;;;4,35;;;14,72;;;3,98;;;18,17;;;;99,90;;;8,33;
;Samambaia;;9,06;;;4,08;;;14,67;;;26,01;;;21,07;;;15,93;;;20,66;;;12,57;;;6,82;;;21,19;;;21,54;;;27,80;;;;201,40;;;16,78;
;Santa Maria 1;;2,83;;;3,00;;;2,42;;;0,00;;;7,76;;;2,04;;;7,47;;;1,18;;;4,00;;;16,33;;;22,83;;;10,98;;;;80,84;;;6,74;
;Santa Maria 2;;0,00;;;0,00;;;2,75;;;0,00;;;4,51;;;0,97;;;0,00;;;2,06;;;0,00;;;47,14;;;2,50;;;0,88;;;;60,81;;;5,07;
;São Sebastião 1;;3,55;;;14,84;;;7,10;;;30,54;;;7,72;;;7,40;;;25,57;;;2,21;;;38,39;;;9,81;;;27,53;;;36,63;;;;211,29;;;17,61;
;São Sebastião 2;;10,05;;;14,59;;;9,99;;;2,11;;;6,41;;;5,00;;;10,83;;;0,00;;;4,66;;;32,53;;;11,93;;;19,58;;;;127,68;;;10,64;
;Sobradinho I – 1;;35,67;;;30,23;;;26,03;;;35,70;;;21,94;;;21,09;;;10,12;;;35,17;;;24,39;;;13,99;;;53,58;;;47,60;;;;355,51;;;29,63;
;Sobradinho I – 2;;7,14;;;15,67;;;7,23;;;13,73;;;30,50;;;21,65;;;31,90;;;40,70;;;20,83;;;35,97;;;41,85;;;50,72;;;;317,89;;;26,49;
;Sobradinho II;;9,65;;;17,89;;;28,06;;;19,23;;;16,57;;;21,64;;;18,21;;;17,05;;;26,27;;;44,78;;;30,49;;;37,33;;;;287,17;;;23,93;
;Taguatinga;;67,89;;;45,00;;;115,45;;;91,07;;;112,60;;;96,96;;;114,66;;;73,07;;;37,33;;;21,36;;;133,14;;;111,79;;;;1.020,32;;;85,03;
;TOTAL;;;379,20;;;368,65;;;443,07;;;496,53;;;640,13;;;392,14;;;517,79;;;474,30;;;494,35;;;878,69;;;854,32;;;894,00;;;6.833,17;;;569,43;
