;BRITADOS DOADOS;;;;;;;;;;;;;;;;;;;;;;
;Mês;;;Pó/Areia;;;Brita 1;;;Brita 2;;;Brita 3;;;Brita 4;;;Rachão;;;Total;
;Janeiro;;4.975,68;;;3,32;;;1.752,90;;;1.742,83;;;2.388,39;;;-;;;;10.863,12;
;Fevereiro;;5.644,05;;;-;;;1.689,94;;;1.301,32;;;2.181,81;;;-;;;;10.817,12;
;Março;;5.193,37;;;-;;;1.121,74;;;1.419,88;;;2.012,54;;;-;;;;9.747,53;
;Abril;;2.794,68;;;-;;;3.180,90;;;1.495,81;;;3.038,65;;;-;;;;10.510,04;
;Maio;;3.401,13;;;-;;;3.322,89;;;1.430,82;;;2.089,06;;;-;;;;10.243,90;
;Junho;;2.720,33;;;-;;;1.137,64;;;536,06;;;2.629,00;;;-;;;;7.023,03;
;Julho;;2.189,03;;;-;;;1.349,45;;;1.222,75;;;3.162,66;;;-;;;;7.923,89;
;Agosto;;1.654,82;;;-;;;2.608,85;;;1.156,24;;;1.852,29;;;-;;;;7.272,20;
;Setembro;;848,84;;;-;;;2.755,94;;;1.450,30;;;1.980,66;;;-;;;;7.035,74;
;Outubro;;998,61;;;-;;;2.226,20;;;1.281,47;;;2.205,72;;;2,54;;;;6.714,54;
;Novembro;;1.652,58;;;-;;;1.064,67;;;1.099,54;;;2.057,92;;;-;;;;5.874,71;
;Dezembro;;1.826,63;;;-;;;1.734,94;;;1.462,80;;;1.708,22;;;62,53;;;;6.795,12;
;TOTAL;;;33.899,75;;;3,32;;;23.946,06;;;15.599,82;;;27.306,92;;;65,07;;;100.820,94;
