;LOTE I (R$);;;;;;;;;;;;;;;
;;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL SERVIÇO;
;Varrição manual;;R$ 5.898.350,57;R$ 5.442.070,53;R$ 5.904.434,00;R$ 6.280.389,80;R$ 6.501.180,30;R$ 6.056.850,24;R$ 6.523.563,38;R$ 6.296.129,14;R$ 6.279.976,14;R$ 6.440.403,81;R$ 5.951.189,43;R$ 6.179.904,48;R$ 73.754.441,82;
;de vias;;;;;;;;;;;;;;;
Coleta Seletiva;;;R$ 1.411.530,60;R$ 1.256.034,35;R$ 1.364.076,80;R$ 1.404.239,65;R$ 1.466.140,35;R$ 1.359.915,48;R$ 1.474.126,66;R$ 1.447.261,83;R$ 1.471.428,15;R$ 1.226.654,49;R$ 1.018.173,22;R$ 1.158.929,76;R$ 16.058.511,34;
;Coleta;;R$ 5.744.907,43;R$ 4.928.274,89;R$ 5.067.924,36;R$ 5.288.697,05;R$ 5.237.471,17;R$ 4.831.902,24;R$ 5.071.495,92;R$ 5.018.123,75;R$ 5.297.443,18;R$ 6.037.395,76;R$ 6.382.393,44;R$ 7.834.004,08;R$ 66.740.033,27;
;convencional de;;;;;;;;;;;;;;;
;RSU;;;;;;;;;;;;;;;
;Coleta manual de;;R$ 166.765,74;R$ 379.574,47;R$ 486.947,28;R$ 509.855,04;R$ 509.883,48;R$ 509.861,28;R$ 509.859,36;R$ 509.859,60;R$ 509.855,04;R$ 505.746,62;R$ 498.876,01;R$ 498.876,01;R$ 5.595.959,93;
;entulhos;;;;;;;;;;;;;;;
;Coleta;;R$ 1.074.859,62;R$ 993.290,04;R$ 1.087.741,37;R$ 1.032.116,09;R$ 1.137.563,13;R$ 1.117.755,19;R$ 1.088.926,13;R$ 1.044.226,47;R$ 994.355,81;R$ 1.117.395,44;R$ 954.665,36;R$ 851.708,91;R$ 12.494.603,56;
;mecanizada de;;;;;;;;;;;;;;;
;entulhos;;;;;;;;;;;;;;;
;Limpeza de;;R$ 157.333,08;R$ 150.975,21;R$ 157.266,24;R$ 164.983,50;R$ 164.992,68;R$ 164.985,54;R$ 164.984,92;R$ 164.984,96;R$ 164.983,50;R$ 162.886,07;R$ 162.002,08;R$ 162.002,08;R$ 1.942.379,86;
;equipamentos e;;;;;;;;;;;;;;;
;Bens Públicos;;;;;;;;;;;;;;;
;Catação em Área;;R$ 1.351.155,41;R$ 1.350.578,02;R$ 1.350.581,43;R$ 1.451.246,72;R$ 1.451.327,46;R$ 1.451.264,54;R$ 1.451.259,15;R$ 1.451.259,59;R$ 1.451.246,72;R$ 1.374.680,40;R$ 1.322.905,25;R$ 1.361.957,81;R$ 16.819.462,50;
;Verde;;;;;;;;;;;;;;;
;Lavagem de Vias;;R$ 95.000,90;R$ 94.960,30;R$ 94.960,54;R$ 99.402,82;R$ 99.408,34;R$ 99.404,04;R$ 99.403,66;R$ 99.403,70;R$ 99.402,82;R$ 99.558,03;R$ 99.623,44;R$ 99.623,44;R$ 1.180.152,03;
;e Logradouros;;;;;;;;;;;;;;;
;públicos;;;;;;;;;;;;;;;
;Varrição;;R$ 632.709,76;R$ 582.232,41;R$ 630.431,50;R$ 640.789,65;R$ 646.705,04;R$ 620.411,36;R$ 675.461,58;R$ 649.034,71;R$ 649.998,10;R$ 703.064,28;R$ 657.752,21;R$ 686.877,42;R$ 7.775.468,02;
;mecanizada de;;;;;;;;;;;;;;;
;vias;;;;;;;;;;;;;;;
;Pintura;;R$ 1.119.215,73;R$ 1.116.225,15;R$ 1.114.102,17;R$ 1.186.093,35;R$ 1.186.159,32;R$ 1.175.889,45;R$ 1.179.007,35;R$ 1.178.734,77;R$ 1.186.093,35;R$ 1.082.931,62;R$ 1.039.980,03;R$ 1.039.980,03;R$ 13.604.412,32;
;Mecanizada de;;;;;;;;;;;;;;;
;Meio-Fio e;;;;;;;;;;;;;;;
;Frisagem;;;;;;;;;;;;;;;
;Limpeza Pós-;;R$ 231.796,06;R$ 256.508,62;R$ 270.009,75;R$ 288.521,54;R$ 288.537,59;R$ 288.525,08;R$ 288.524,00;R$ 288.524,09;R$ 288.521,54;R$ 277.213,57;R$ 272.459,08;R$ 261.560,72;R$ 3.300.701,64;
;eventos e Coleta;;;;;;;;;;;;;;;
;de Resíduos de;;;;;;;;;;;;;;;
;Caixa de Gordura;;;;;;;;;;;;;;;
;Unidade de;;R$ 1.405.137,50;R$ 1.267.087,73;R$ 1.148.228,89;R$ 1.216.462,60;R$ 1.190.233,81;R$ 1.062.935,08;R$ 1.101.236,17;R$ 1.083.613,30;R$ 1.145.378,87;R$ 1.219.822,29;R$ 1.290.127,05;R$ 1.707.658,23;R$ 14.837.921,52;
;Transbordo de;;;;;;;;;;;;;;;
;Rejeitos e/ou;;;;;;;;;;;;;;;
;Resíduos - Asa;;;;;;;;;;;;;;;
;Sul e Sobradinho;;;;;;;;;;;;;;;
TOTAL;;;R$ 19.288.762,40;R$ 17.817.811,72;R$ 18.676.704,33;R$ 19.562.797,81;R$ 19.879.602,67;R$ 18.739.699,52;R$ 19.627.848,28;R$ 19.231.155,91;R$ 19.538.683,22;R$ 20.247.752,38;R$ 19.650.146,60;R$ 21.843.082,97;-;
;R$ 234.104.047,81;;;;;;;;;;;;;;;
