CUSTOS UNIDADE DE RECEBIMENTO DE ENTULHOS (URE);;;;;;;;;;;;;;;;;;
Item;Serviços;;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET (01 A 04);SET (05 A 30);OUT;NOV;DEZ;TOTAL;
P1;;ATERRAMENTO DE;;R$ 435.957,34;R$ 407.974,04;R$ 433.715,77;R$ 448.617,79;R$ 419.124,08;R$ 388.728,62;R$ 430.189,73;R$ 453.976,36;R$ 71.410,15;R$ 487.861,99;R$ 626.204,22;R$ 573.186,24;R$ 573.186,24;R$ 5.750.132,57;
;;INERTES E SERVIÇOS DE;;;;;;;;;;;;;;;;
;;INFRAESTRUTURA;;;;;;;;;;;;;;;;
P2;;EXECUÇÃO DOS;;R$ 288.951,34;R$ 356.284,13;R$ 370.954,10;R$ 367.131,00;R$ 460.682,78;R$ 356.221,50;R$ 428.051,52;R$ 316.980,93;R$ 52.639,87;R$ 277.860,34;R$ 282.837,37;R$ 232.052,14;R$ 232.052,14;R$ 4.022.699,16;
;;SERVIÇOS DE;;;;;;;;;;;;;;;;
;;BRITAGEM DE;;;;;;;;;;;;;;;;
;;SERVIÇOS CORRELATOS;;;;;;;;;;;;;;;;
P3;VIÁRIOS;;;R$ 91.657,36;R$ 180.071,72;R$ 181.037,89;R$ 159.779,33;R$ 229.349,10;R$ 263.170,72;R$ 296.504,90;R$ 295.538,74;R$ 50.448,50;R$ 256.712,87;R$ 245.759,80;R$ 182.568,76;R$ 182.568,76;R$ 2.615.168,45;
P4;;IMPLANTAÇÃO DE;;R$ 3.531,72;R$ 4.724,85;R$ 0,00;R$ 20.746,34;R$ 3.632,42;R$ 5.287,40;R$ 5.972,96;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 10.920,74;R$ 10.920,74;R$ 65.737,17;
;;DRENAGEM PLUVIAL;;;;;;;;;;;;;;;;
;;DE GÁS;;;;;;;;;;;;;;;;
P5;MANUTENÇÃO;;;R$ 191.590,47;R$ 176.855,12;R$ 177.293,37;R$ 191.678,12;R$ 175.890,97;R$ 125.307,54;R$ 190.501,62;R$ 176.329,22;R$ 26.965,84;R$ 135.219,70;R$ 175.685,56;R$ 160.378,41;R$ 160.378,41;R$ 2.064.074,35;
P6;;MONITORAMENTO;;R$ 324.677,97;R$ 324.677,97;R$ 324.677,97;R$ 324.644,97;R$ 324.677,97;R$ 324.677,97;R$ 324.677,97;R$ 324.677,97;R$ 49.950,46;R$ 364.748,76;R$ 453.201,87;R$ 431.066,72;R$ 431.066,72;R$ 4.327.425,29;
;;GEOTÉCNICO,;;;;;;;;;;;;;;;;
;;AMBIENTAL, ESTUDOS;;;;;;;;;;;;;;;;
;;DE ENGENHARIA, AS;;;;;;;;;;;;;;;;
;;BUILT, DESPEZAS FIXAS;;;;;;;;;;;;;;;;
;;DE ÁGUA E ENERGIA;;;;;;;;;;;;;;;;
-;CUSTOS INDIRETOS, LUCROS E TRIBUTOS- BDI 20,45%;;;R$ 273.286,89;R$ 296.645,21;R$ 304.230,37;R$ 309.332,95;R$ 329.931,57;R$ 299.264,02;R$ 342.782,63;R$ 320.554,41;R$ 51.414,33;R$ 312.549,47;R$ 364.764,36;R$ 325.190,38;R$ 325.190,38;R$ 3.855.136,97;
-;TOTAL;;;R$ 1.609.653,09;R$ 1.747.233,04;R$ 1.791.909,47;R$ 1.821.930,50;R$ 1.943.288,89;R$ 1.762.657,77;R$ 2.018.681,33;R$ 1.888.057,63;R$ 302.829,14;R$ 1.834.953,14;R$ 2.148.453,18;R$ 1.915.363,39;R$ 1.915.363,39;-;
R$ 22.700.373,96;;;;;;;;;;;;;;;;;;
