COOPERATIVAS E ASSOCIAÇÕES DE CATADORES CONTRATO DE TRIAGEM 2025;;;;;;
Grupo;Habilitação;Cooperativa;Associados;Quantidade (t);Valor mensal;Valor Global
G1;1ª;COOPERNOES;32;133,12;R$ 76.397,57;R$ 916.770,82
;;COOPERCAP;44;183,04;R$ 105.046,66;R$ 1.260.559,87
;2ª;CTELS;22;25,81;R$ 14.812,36;R$ 177.748,31
;;RECICLO;24;99,84;R$ 57.298,18;R$ 687.578,11
;;COORACE;26;108,16;R$ 62.073,02;R$ 744.876,29
;;RECICLA BRASÍLIA;35;145,6;R$ 83.559,84;R$ 1.002.718,08
;;FLOR DO CERRADO;22;91,52;R$ 52.523,33;R$ 630.279,94
;;CONSTRUIR;40;166,4;R$ 95.496,96;R$ 1.145.963,52
;3ª;NOVA SUPERAÇÃO;23;55;R$ 31.564,50;R$ 378.774,00
;;COOPERLIVRE;28;40;R$ 22.956,00;R$ 275.472,00
;;VENCENDO OS OBSTÁCULOS;17;30;R$ 17.217,00;R$ 206.604,00
G2;1ª;RECICLE A VIDA;60;249,6;R$ 143.245,44;R$ 1.718.945,28
;;PLASFERRO;49;203,84;R$ 116.983,78;R$ 1.403.805,31
;2ª;COOPERE;48;91,38;R$ 52.442,98;R$ 629.315,78
;3ª;RECICONSTRU;14;30;R$ 17.217,00;R$ 206.604,00
G3;1ª;R3;43;178,88;R$ 102.659,23;R$ 1.231.910,78
;2ª;CORTRAP;44;180;R$ 103.302,00;R$ 1.239.624,00
;;COOPERFÉ;45;126,94;R$ 72.850,87;R$ 874.210,39
G4;1ª;AMBIENTE;29;120,64;R$ 69.235,30;R$ 830.823,55
;;RENASCER;31;79,9;R$ 45.854,61;R$ 550.255,32
