;RESÍDUOS RECUPERADOS EM TONELADAS - 2025 (CONTRATO NOVO);;;;;;;;;
;Material;Diversos;Metal;Papel;Plástico;;;Vidro;Total Geral;
;Janeiro;3,23;32,33;59,23;41,22;;0,00;;136,00;
;Fevereiro;20,71;138,06;682,28;505,47;;293,86;;1.640,39;
;Março;35,15;194,45;1.068,22;966,59;;293,51;;2.557,92;
;Abril;36,68;143,35;1.339,37;1.170,35;;324,39;;3.014,13;
;Maio;39,78;100,48;1.172,81;1.097,97;;355,76;;2.766,80;
;Junho;48,95;189,72;1.172,19;1.060,40;;434,64;;2.905,90;
;Julho;79,11;179,09;1.396,62;1.256,58;;309,70;;3.221,10;
;Agosto;44,82;169,45;1.176,59;1.019,65;;491,80;;2.902,31;
;Setembro;41,80;167,00;1.298,99;1.105,58;;388,91;;3.002,29;
;Outubro;68,30;169,16;1.333,25;1.185,43;;342,29;;3.098,44;
;Novembro;41,99;164,49;1.114,59;1.120,76;;307,47;;2.749,30;
;Dezembro;38,60;168,45;1.175,27;938,04;;304,61;;2.624,97;
;Total Geral;499,12;1.816,04;12.989,42;11.468,04;;;3.846,93;30.619,56;
