ENTRADA DE RESÍDUOS NAS UNIDADES GERENCIADAS PELO SLU E GALPÕES PRÓPRIOS DE COOPERATIVAS (EM TONELADAS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;IRR/CTR;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;TOTAL;
;CTR 1;;;733,95;;;589,03;;;923,07;;;751,21;;;983,00;;;1.122,14;;;1.284,38;;;1.220,37;;;1.177,55;;;1.131,88;;;1.037,74;;;1.157,52;;;12.111,84;
;SUMA BRASIL;;;646,79;;;367,75;;;275,70;;;90,06;;;151,99;;;146,37;;;189,99;;;144,53;;;158,57;;;203,71;;;184,49;;;295,11;;;2.855,06;
;SUSTENTARE SANEAMENTO;;;0,00;;;0,00;;;31,23;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;31,23;
;VALOR AMBIENTAL LTDA;;;9,56;;;153,28;;;551,33;;;592,05;;;753,50;;;894,26;;;1.010,28;;;995,91;;;931,80;;;840,86;;;776,91;;;783,84;;;8.293,58;
;COOPERNOES;;;18,76;;;17,28;;;15,33;;;20,88;;;17,18;;;18,60;;;23,50;;;16,19;;;19,47;;;17,92;;;19,36;;;18,33;;;222,80;
;CTELS;;;16,99;;;16,13;;;17,55;;;14,73;;;23,16;;;27,00;;;23,25;;;25,26;;;26,64;;;28,90;;;25,49;;;28,40;;;273,50;
;FLOR DO CERRADO;;;28,56;;;22,51;;;17,63;;;21,77;;;25,28;;;24,33;;;23,11;;;24,14;;;26,29;;;27,79;;;20,33;;;18,67;;;280,41;
;VENCENDO OBSTACULOS;;;13,29;;;12,08;;;14,30;;;11,72;;;11,89;;;11,58;;;14,25;;;14,34;;;14,78;;;12,70;;;11,16;;;13,17;;;155,26;
;CTR 2;;;326,23;;;401,95;;;527,32;;;627,12;;;704,35;;;691,32;;;765,66;;;643,42;;;682,35;;;663,16;;;680,22;;;797,93;;;7.511,03;
;SUSTENTARE SANEAMENTO;;;0,00;;;0,00;;;0,00;;;0,00;;;0,59;;;2,20;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;2,79;
;SUMA BRASIL;;;111,22;;;108,12;;;281,77;;;273,13;;;285,84;;;356,12;;;536,48;;;487,22;;;511,67;;;461,88;;;468,67;;;596,64;;;4.478,76;
;VALOR AMBIENTAL LTDA;;;118,42;;;205,94;;;145,38;;;272,11;;;333,27;;;248,58;;;119,70;;;95,74;;;59,04;;;92,22;;;116,72;;;69,59;;;1.876,71;
;CONSTRUIR;;;18,52;;;19,10;;;21,57;;;19,17;;;20,20;;;15,63;;;18,24;;;15,37;;;14,85;;;16,68;;;16,91;;;20,21;;;216,45;
;NOVA SUPERACAO;;;12,35;;;10,79;;;13,38;;;10,93;;;11,42;;;13,41;;;12,45;;;10,49;;;12,87;;;14,68;;;11,70;;;11,33;;;145,80;
;RECICLA BRASILIA;;;50,18;;;45,70;;;49,58;;;41,93;;;41,90;;;43,41;;;45,26;;;3,72;;;42,10;;;41,22;;;34,42;;;52,88;;;492,30;
;RECICLO;;;15,54;;;12,30;;;15,64;;;9,85;;;11,13;;;11,97;;;33,53;;;30,88;;;41,82;;;36,48;;;31,80;;;47,28;;;298,22;
;DL SUL;;;349,64;;;271,28;;;267,99;;;291,37;;;112,62;;;72,95;;;73,89;;;87,03;;;217,75;;;150,34;;;252,47;;;627,43;;;2.774,76;
